curve,m_phi_GeV,gamma_GeV
cc,3.9425797091e+00,4.7090242271e-07
cc,3.9696404718e+00,5.5489908393e-07
cc,3.9964424190e+00,6.4118030443e-07
cc,4.0256634815e+00,7.3898463703e-07
cc,4.0530690594e+00,8.3392250583e-07
cc,4.0831582532e+00,9.4065597148e-07
cc,4.1114125888e+00,1.0435543335e-06
cc,4.1391717433e+00,1.1473901949e-06
cc,4.1696682717e+00,1.2634417873e-06
cc,4.1982877067e+00,1.3744297421e-06
cc,4.2294549753e+00,1.4977194025e-06
cc,4.2603797717e+00,1.6216648080e-06
cc,4.2893832317e+00,1.7398467722e-06
cc,4.3212267757e+00,1.8706245528e-06
cc,4.3508864659e+00,1.9945818278e-06
cc,4.3802624838e+00,2.1186084101e-06
cc,4.4125353169e+00,2.2556301214e-06
cc,4.4425746720e+00,2.3851882688e-06
cc,4.4755554794e+00,2.5281087747e-06
cc,4.5082797058e+00,2.6704696109e-06
cc,4.5387184006e+00,2.8052564822e-06
cc,4.5721587029e+00,2.9531346654e-06
cc,4.6035407194e+00,3.0929444345e-06
cc,4.6379744104e+00,3.2462857881e-06
cc,4.6718862064e+00,3.3992495381e-06
cc,4.7036910858e+00,3.5427678588e-06
cc,4.7386104380e+00,3.7010133943e-06
cc,4.7714002551e+00,3.8498792548e-06
cc,4.8036154692e+00,3.9970574239e-06
cc,4.8387383943e+00,4.1587176231e-06
cc,4.8719500699e+00,4.3112645944e-06
cc,4.9081185463e+00,4.4770353744e-06
cc,4.9440055034e+00,4.6422480256e-06
cc,4.9776629648e+00,4.7981910966e-06
cc,5.0143373163e+00,4.9678370769e-06
cc,5.0490350839e+00,5.1270613092e-06
cc,5.0831248139e+00,5.2857522791e-06
cc,5.1202914467e+00,5.4586554255e-06
cc,5.1551489421e+00,5.6204169483e-06
cc,5.1934198357e+00,5.7980844718e-06
cc,5.2293568026e+00,5.9648162145e-06
cc,5.2649567841e+00,6.1298059200e-06
cc,5.3034529302e+00,6.3101108001e-06
cc,5.3398543455e+00,6.4791250841e-06
cc,5.3797955355e+00,6.6640201229e-06
cc,5.4191313559e+00,6.8454313285e-06
cc,5.4560233465e+00,7.0168076268e-06
cc,5.4962220763e+00,7.2047501643e-06
cc,5.5342544262e+00,7.3804007664e-06
cc,5.5716202270e+00,7.5522801850e-06
cc,5.6126707281e+00,7.7413525399e-06
cc,5.6508802023e+00,7.9199497197e-06
cc,5.6928312341e+00,8.1130367671e-06
cc,5.7344558992e+00,8.3037480228e-06
cc,5.7731734889e+00,8.4826535635e-06
cc,5.8160324022e+00,8.6783524844e-06
cc,5.8559520194e+00,8.8634390163e-06
cc,5.8954898361e+00,9.0428294745e-06
cc,5.9385962094e+00,9.2415974786e-06
cc,5.9395870837e+00,9.2455379968e-06
cc,5.9790245772e+00,9.4266321341e-06
cc,6.0234116888e+00,9.6276775115e-06
cc,6.0650919599e+00,9.8162566893e-06
cc,6.1060419203e+00,1.0004263347e-05
cc,6.1510298380e+00,1.0206743376e-05
cc,6.1932487838e+00,1.0397795353e-05
cc,6.2392262542e+00,1.0605979905e-05
cc,6.2848460332e+00,1.0811416000e-05
cc,6.3276315768e+00,1.1004399449e-05
cc,6.4180032887e+00,1.1410486481e-05
cc,6.4613359247e+00,1.1604264709e-05
cc,6.5089416599e+00,1.1816436738e-05
cc,6.5532526930e+00,1.2014547839e-05
cc,6.6019027621e+00,1.2229006488e-05
cc,6.6501743479e+00,1.2441988754e-05
cc,6.6950746359e+00,1.2642500194e-05
cc,6.7444024118e+00,1.2859941850e-05
cc,6.7906941007e+00,1.3064403223e-05
cc,6.8414874193e+00,1.3286269040e-05
cc,6.8915107927e+00,1.3506143073e-05
cc,6.9384262482e+00,1.3712107479e-05
cc,6.9895470824e+00,1.3933087780e-05
cc,7.0379127317e+00,1.4145562185e-05
cc,7.0854308299e+00,1.4352096398e-05
cc,7.1376347624e+00,1.4577174226e-05
cc,7.1866254880e+00,1.4786858106e-05
cc,7.2399775931e+00,1.5018754936e-05
cc,7.2925090986e+00,1.5244535655e-05
cc,7.3421544371e+00,1.5457227487e-05
cc,7.3962498540e+00,1.5689600730e-05
cc,7.4474297691e+00,1.5908502113e-05
cc,7.4478439201e+00,1.5908502113e-05
cc,7.4482582002e+00,1.5911893359e-05
cc,7.4507438342e+00,1.5922072303e-05
cc,7.4536448774e+00,1.5935654070e-05
cc,7.4735680149e+00,1.6017388309e-05
cc,7.4739836194e+00,1.6020802767e-05
cc,7.4743992471e+00,1.6020802767e-05
cc,7.4752306782e+00,1.6027634740e-05
cc,7.4802208877e+00,1.6048146394e-05
cc,7.4864633613e+00,1.6075536690e-05
cc,7.4868796829e+00,1.6075536690e-05
cc,7.4872960277e+00,1.6078964421e-05
cc,7.4931277134e+00,1.6102973735e-05
cc,7.4935444057e+00,1.6106407316e-05
cc,7.4939611211e+00,1.6106407316e-05
cc,7.4964621138e+00,1.6116709813e-05
cc,7.4968789915e+00,1.6120145443e-05
cc,7.4972958924e+00,1.6120145443e-05
cc,7.4981298704e+00,1.6123582685e-05
cc,7.4985468409e+00,1.6127019780e-05
cc,7.4989638345e+00,1.6127019780e-05
cc,7.4993809581e+00,1.6130457608e-05
cc,7.4997979981e+00,1.6130457608e-05
gg,2.0000000000e+00,5.5242071172e-08
gg,2.0001112198e+00,5.5242071172e-08
gg,2.0002224459e+00,5.5265625799e-08
gg,2.0003337066e+00,5.5265625799e-08
gg,2.0004449450e+00,5.5277406879e-08
gg,2.0011125338e+00,5.5312768207e-08
gg,2.0020030178e+00,5.5371752014e-08
gg,2.0021143776e+00,5.5383555717e-08
gg,2.0022257150e+00,5.5383555717e-08
gg,2.0023370586e+00,5.5407173695e-08
gg,2.0027825235e+00,5.5430801746e-08
gg,2.0036737507e+00,5.5489911421e-08
gg,2.0053458778e+00,5.5596468330e-08
gg,2.0054573950e+00,5.5608319936e-08
gg,2.0055689183e+00,5.5608319936e-08
gg,2.0057920121e+00,5.5632033764e-08
gg,2.0061266851e+00,5.5655754667e-08
gg,2.0070194004e+00,5.5715107265e-08
gg,2.0086943196e+00,5.5822096617e-08
gg,2.0121602136e+00,5.6048637517e-08
gg,2.0123840407e+00,5.6072539115e-08
gg,2.0126078639e+00,5.6084492206e-08
gg,2.0130556138e+00,5.6120369832e-08
gg,2.0157442058e+00,5.6300099450e-08
gg,2.0268726637e+00,5.7061268386e-08
gg,2.0407845499e+00,5.8017938619e-08
gg,2.0559349361e+00,5.9078736877e-08
gg,2.0708522673e+00,6.0133290547e-08
gg,2.0849500733e+00,6.1154502261e-08
gg,2.1003115376e+00,6.2285924135e-08
gg,2.1147274877e+00,6.3357195979e-08
gg,2.1290055602e+00,6.4446892905e-08
gg,2.1445723563e+00,6.5653223452e-08
gg,2.1592920695e+00,6.6825131510e-08
gg,2.1752013006e+00,6.8119523372e-08
gg,2.1902530349e+00,6.9350235181e-08
gg,2.2051636892e+00,7.0603182194e-08
gg,2.2212873360e+00,7.1986100352e-08
gg,2.2365335982e+00,7.3317922053e-08
gg,2.2532625161e+00,7.4801830907e-08
gg,2.2696116051e+00,7.6315773147e-08
gg,2.2850625112e+00,7.7760840795e-08
gg,2.3020263694e+00,7.9368503328e-08
gg,2.3178268335e+00,8.0923109523e-08
gg,2.3334761784e+00,8.2490581414e-08
gg,2.3506687296e+00,8.4231929012e-08
gg,2.3666714509e+00,8.5936735226e-08
gg,2.3842411579e+00,8.7825682711e-08
gg,2.4016741777e+00,8.9756155437e-08
gg,2.4178896373e+00,9.1631343557e-08
gg,2.4357041288e+00,9.3725348479e-08
gg,2.4524221196e+00,9.5785494945e-08
gg,2.4707658143e+00,9.8099817138e-08
gg,2.4888314824e+00,1.0047005685e-07
gg,2.5057747786e+00,1.0280986678e-07
gg,2.5242367530e+00,1.0547361958e-07
gg,2.5417037792e+00,1.0813721280e-07
gg,2.5588646811e+00,1.1093899451e-07
gg,2.5777178464e+00,1.1432398587e-07
gg,2.5797255359e+00,1.1473902575e-07
gg,2.5800124973e+00,1.1478794924e-07
gg,2.6146784013e+00,1.2195166223e-07
gg,2.6337963249e+00,1.2577987484e-07
gg,2.6515790110e+00,1.2931412881e-07
gg,2.6712638161e+00,1.3306108992e-07
gg,2.6895986227e+00,1.3653774421e-07
gg,2.7077580708e+00,1.3986651154e-07
gg,2.7275565715e+00,1.4349038369e-07
gg,2.7462777557e+00,1.4683207806e-07
gg,2.7665117010e+00,1.5037976279e-07
gg,2.7856552034e+00,1.5368521993e-07
gg,2.8046191559e+00,1.5686257717e-07
gg,2.8252829874e+00,1.6027635615e-07
gg,2.8446749384e+00,1.6341572007e-07
gg,2.8657932500e+00,1.6679425003e-07
gg,2.8867472673e+00,1.7006127192e-07
gg,2.9063994259e+00,1.7305996897e-07
gg,2.9278131526e+00,1.7629933238e-07
gg,2.9480727749e+00,1.7929333025e-07
gg,2.9679773712e+00,1.8218276895e-07
gg,2.9896785351e+00,1.8531617788e-07
gg,3.0101988511e+00,1.8818229755e-07
gg,3.0325459800e+00,1.9125574991e-07
gg,3.0547192547e+00,1.9425513255e-07
gg,3.0753438994e+00,1.9700737930e-07
gg,3.0980023727e+00,1.9996904076e-07
gg,3.1194396553e+00,2.0275900975e-07
gg,3.1425978113e+00,2.0567557610e-07
gg,3.1655757144e+00,2.0854517408e-07
gg,3.1871261036e+00,2.1122953720e-07
gg,3.2107867058e+00,2.1408532900e-07
gg,3.2330044235e+00,2.1674859674e-07
gg,3.2548328018e+00,2.1930469346e-07
gg,3.2788137107e+00,2.2208022240e-07
gg,3.3013185696e+00,2.2465131740e-07
gg,3.3258269144e+00,2.2739754114e-07
gg,3.3501445914e+00,2.3007923245e-07
gg,3.3729514759e+00,2.3254455790e-07
gg,3.3978026095e+00,2.3518665389e-07
gg,3.4211241748e+00,2.3760539356e-07
gg,3.4442227363e+00,2.3999784756e-07
gg,3.4695989802e+00,2.4256946535e-07
gg,3.4932190780e+00,2.4495967081e-07
gg,3.5191520548e+00,2.4753167506e-07
gg,3.5446861608e+00,2.5002407702e-07
gg,3.5596995070e+00,2.5146721716e-07
gg,3.5600954273e+00,2.5152082291e-07
gg,3.5951116611e+00,2.5486701638e-07
gg,3.6197875005e+00,2.5721387076e-07
gg,3.6466600965e+00,2.5974837772e-07
gg,3.6733236315e+00,2.6219606135e-07
gg,3.6983306321e+00,2.6449760931e-07
gg,3.7197824253e+00,2.6647832973e-07
gg,3.7201961504e+00,2.6647832973e-07
gg,3.7515676834e+00,2.6933369040e-07
gg,3.7768972617e+00,2.7158207770e-07
gg,3.8045130607e+00,2.7402443260e-07
gg,3.8306261727e+00,2.7637089508e-07
gg,3.8590639938e+00,2.7885630090e-07
gg,3.8872805771e+00,2.8130409186e-07
gg,3.9137440833e+00,2.8353152829e-07
gg,3.9425797091e+00,2.8602035824e-07
gg,3.9696404718e+00,2.8834659355e-07
gg,3.9964424190e+00,2.9062977842e-07
gg,4.0256634815e+00,2.9305594464e-07
gg,4.0530690594e+00,2.9531348265e-07
gg,4.0831582532e+00,2.9777874826e-07
gg,4.1114125888e+00,3.0007265172e-07
gg,4.1391717433e+00,3.0238422598e-07
gg,4.1696682717e+00,3.0484355044e-07
gg,4.1982877067e+00,3.0719187677e-07
gg,4.2294549753e+00,3.0975631966e-07
gg,4.2603797717e+00,3.1220903093e-07
gg,4.2893832317e+00,3.1461409637e-07
gg,4.3212267757e+00,3.1717287041e-07
gg,4.3508864659e+00,3.1961617419e-07
gg,4.3802624838e+00,3.2200965626e-07
gg,4.4125353169e+00,3.2462857881e-07
gg,4.4425746720e+00,3.2712933462e-07
gg,4.4755554794e+00,3.2986019774e-07
gg,4.5082797058e+00,3.3254298732e-07
gg,4.5387184006e+00,3.3510469299e-07
gg,4.5721587029e+00,3.3790215254e-07
gg,4.6035407194e+00,3.4057772804e-07
gg,4.6379744104e+00,3.4349408426e-07
gg,4.6718862064e+00,3.4636155968e-07
gg,4.7036910858e+00,3.4910413748e-07
gg,4.7386104380e+00,3.5216856152e-07
gg,4.7714002551e+00,3.5503278751e-07
gg,4.8036154692e+00,3.5792028903e-07
gg,4.8387383943e+00,3.6106210094e-07
gg,4.8719500699e+00,3.6407625336e-07
gg,4.9081185463e+00,3.6742872306e-07
gg,4.9440055034e+00,3.7081204258e-07
gg,4.9776629648e+00,3.7398729427e-07
gg,5.0143373163e+00,3.7751150465e-07
gg,5.0490350839e+00,3.8082528758e-07
gg,5.0831248139e+00,3.8416815878e-07
gg,5.1202914467e+00,3.8795365571e-07
gg,5.1551489421e+00,3.9144252625e-07
gg,5.1934198357e+00,3.9546825454e-07
gg,5.2293568026e+00,3.9919486557e-07
gg,5.2649567841e+00,4.0295659354e-07
gg,5.3034529302e+00,4.0718751886e-07
gg,5.3398543455e+00,4.1119984280e-07
gg,5.3797955355e+00,4.1569449193e-07
gg,5.4191313559e+00,4.2023829309e-07
gg,5.4560233465e+00,4.2456016684e-07
gg,5.4962220763e+00,4.2938388203e-07
gg,5.5342544262e+00,4.3398480341e-07
gg,5.5716202270e+00,4.3835460607e-07
gg,5.6126707281e+00,4.4314609646e-07
gg,5.6508802023e+00,4.4779899970e-07
gg,5.6928312341e+00,4.5288674698e-07
gg,5.7344558992e+00,4.5803229960e-07
gg,5.7731734889e+00,4.6294019366e-07
gg,5.8160324022e+00,4.6829977737e-07
gg,5.8559520194e+00,4.7341858724e-07
gg,5.8954898361e+00,4.7859334891e-07
gg,5.9385962094e+00,4.8423738366e-07
gg,5.9395870837e+00,4.8434060948e-07
gg,6.0234116888e+00,4.9562023846e-07
gg,6.0650919599e+00,5.0125131517e-07
gg,6.1060419203e+00,5.0694637036e-07
gg,6.1510298380e+00,5.1314350494e-07
gg,6.1932487838e+00,5.1908430596e-07
gg,6.2392262542e+00,5.2565385763e-07
gg,6.2848460332e+00,5.3219307614e-07
gg,6.3276315768e+00,5.3835444856e-07
gg,6.3742522071e+00,5.4528409841e-07
gg,6.4180032887e+00,5.5171458476e-07
gg,6.5089416599e+00,5.6540630519e-07
gg,6.5532526930e+00,5.7219607226e-07
gg,6.6019027621e+00,5.7956132843e-07
gg,6.6501743479e+00,5.8702138952e-07
gg,6.6950746359e+00,5.9407072460e-07
gg,6.7444024118e+00,6.0171754933e-07
gg,6.7906941007e+00,6.0907317509e-07
gg,6.8414874193e+00,6.1704465223e-07
gg,6.8915107927e+00,6.2498719528e-07
gg,6.9384262482e+00,6.3262727811e-07
gg,6.9895470824e+00,6.4077039930e-07
gg,7.0379127317e+00,6.4943351941e-07
gg,7.0854308299e+00,6.5863479142e-07
gg,7.1376347624e+00,6.6896388092e-07
gg,7.1866254880e+00,6.7887590289e-07
gg,7.2399775931e+00,6.8996351726e-07
gg,7.2925090986e+00,7.0123221802e-07
gg,7.3421544371e+00,7.1207754992e-07
gg,7.3962498540e+00,7.2432475729e-07
gg,7.4474297691e+00,7.3615465662e-07
gg,7.4478439201e+00,7.3631158412e-07
gg,7.4482582002e+00,7.3631158412e-07
gg,7.4490866173e+00,7.3646854507e-07
gg,7.4507438342e+00,7.3693966894e-07
gg,7.4536448774e+00,7.3772551838e-07
gg,7.4602800150e+00,7.3929977251e-07
gg,7.4735680149e+00,7.4230004742e-07
gg,7.4743992471e+00,7.4261659673e-07
gg,7.4768937114e+00,7.4309165355e-07
gg,7.4802208877e+00,7.4388406327e-07
gg,7.4864633613e+00,7.4547145930e-07
gg,7.4868796829e+00,7.4563037288e-07
gg,7.4872960277e+00,7.4563037288e-07
gg,7.4881288934e+00,7.4594830168e-07
gg,7.4897947961e+00,7.4626640677e-07
gg,7.4931277134e+00,7.4706220195e-07
gg,7.4935444057e+00,7.4722145464e-07
gg,7.4939611211e+00,7.4722145464e-07
gg,7.4947947282e+00,7.4754010265e-07
gg,7.4964621138e+00,7.4785884574e-07
gg,7.4968789915e+00,7.4801830907e-07
gg,7.4972958924e+00,7.4801830907e-07
gg,7.4981298704e+00,7.4833725606e-07
gg,7.4985468409e+00,7.4833725606e-07
gg,7.4993809581e+00,7.4865633905e-07
gg,7.4997979981e+00,7.4865633905e-07
hadrons,2.7992451621e-01,5.0125134253e-10
hadrons,2.7994008279e-01,5.0965518350e-10
hadrons,2.8000236575e-01,5.2970319901e-10
hadrons,2.8001793666e-01,5.3458078690e-10
hadrons,2.8003350843e-01,5.3938827648e-10
hadrons,2.8006465458e-01,5.4901634094e-10
hadrons,2.8012696525e-01,5.6770093616e-10
hadrons,2.8025162020e-01,6.0351597438e-10
hadrons,2.8026720497e-01,6.0790588392e-10
hadrons,2.8028279061e-01,6.1219718853e-10
hadrons,2.8029837712e-01,6.2073856655e-10
hadrons,2.8036073580e-01,6.3750068249e-10
hadrons,2.8048549477e-01,6.6982007259e-10
hadrons,2.8050109654e-01,6.7382992496e-10
hadrons,2.8051669519e-01,6.7771923746e-10
hadrons,2.8054789508e-01,6.8541930146e-10
hadrons,2.8061030927e-01,7.0078399833e-10
hadrons,2.8071956851e-01,7.3068289483e-10
hadrons,2.8078202089e-01,7.4515377439e-10
hadrons,2.8084448717e-01,7.5942539289e-10
hadrons,2.8096946142e-01,7.8728206750e-10
hadrons,2.8120393904e-01,8.4052575947e-10
hadrons,2.8123521537e-01,8.4700065049e-10
hadrons,2.8126649918e-01,8.5334346462e-10
hadrons,2.8131342542e-01,8.6598743451e-10
hadrons,2.8143860834e-01,8.9089007173e-10
hadrons,2.8167347748e-01,9.3885314932e-10
hadrons,2.8170481004e-01,9.4527915649e-10
hadrons,2.8175181341e-01,9.5154630369e-10
hadrons,2.8181449143e-01,9.6420552606e-10
hadrons,2.8193989732e-01,9.8876596121e-10
hadrons,2.8220657317e-01,1.0364603083e-09
hadrons,2.8222226666e-01,1.0395580442e-09
hadrons,2.8226935637e-01,1.0482362920e-09
hadrons,2.8233215354e-01,1.0596941134e-09
hadrons,2.8245778979e-01,1.0825253876e-09
hadrons,2.8272495147e-01,1.1270283587e-09
hadrons,2.8275640100e-01,1.1323260327e-09
hadrons,2.8278785000e-01,1.1378911856e-09
hadrons,2.8285076251e-01,1.1486138613e-09
hadrons,2.8297662954e-01,1.1701138581e-09
hadrons,2.8324428197e-01,1.2117429352e-09
hadrons,2.8376457044e-01,1.2920392298e-09
hadrons,2.8379613157e-01,1.2964533892e-09
hadrons,2.8382769621e-01,1.3011599408e-09
hadrons,2.8401717397e-01,1.3280607056e-09
hadrons,2.8425419096e-01,1.3633416830e-09
hadrons,2.8474466033e-01,1.4318485299e-09
hadrons,2.8480800819e-01,1.4404200794e-09
hadrons,2.8487137013e-01,1.4487341909e-09
hadrons,2.8499813632e-01,1.4651942398e-09
hadrons,2.8523597600e-01,1.4980387560e-09
hadrons,2.8572813534e-01,1.5619526371e-09
hadrons,2.8574402873e-01,1.5639515741e-09
hadrons,2.8575991893e-01,1.5656193232e-09
hadrons,2.8579170606e-01,1.5696292321e-09
hadrons,2.8585528278e-01,1.5773436416e-09
hadrons,2.8596658422e-01,1.5925468180e-09
hadrons,2.8620523210e-01,1.6227022864e-09
hadrons,2.8669906792e-01,1.6815080617e-09
hadrons,2.8765729913e-01,1.7956107293e-09
hadrons,2.8767329573e-01,1.7975255124e-09
hadrons,2.8770529570e-01,1.7994424357e-09
hadrons,2.8773729512e-01,1.8028978931e-09
hadrons,2.8780130876e-01,1.8106005175e-09
hadrons,2.8818568973e-01,1.8551380338e-09
hadrons,2.8871505092e-01,1.9133732019e-09
hadrons,2.8977669632e-01,2.0271580750e-09
hadrons,2.9176563824e-01,2.2307659638e-09
hadrons,2.9393165358e-01,2.4433388925e-09
hadrons,2.9608080963e-01,2.6461041713e-09
hadrons,2.9809644824e-01,2.8310878665e-09
hadrons,3.0030945810e-01,3.0290033910e-09
hadrons,3.0237069810e-01,3.2091329658e-09
hadrons,3.0441222392e-01,3.3840673080e-09
hadrons,3.0665506780e-01,3.5723431387e-09
hadrons,3.0874269312e-01,3.7478537719e-09
hadrons,3.1103473863e-01,3.9395378812e-09
hadrons,3.1330895268e-01,4.1304468884e-09
hadrons,3.1542433066e-01,4.3066723288e-09
hadrons,3.1774830938e-01,4.4961633609e-09
hadrons,3.1994703600e-01,4.6690436125e-09
hadrons,3.2232226036e-01,4.8341231601e-09
hadrons,3.2467900617e-01,4.9922532616e-09
hadrons,3.2688933363e-01,5.1412891908e-09
hadrons,3.2931609625e-01,5.3072038455e-09
hadrons,3.3159486862e-01,5.4901634094e-09
hadrons,3.3383370820e-01,5.6879108851e-09
hadrons,3.3629332325e-01,5.9078740100e-09
hadrons,3.3858271786e-01,6.1167538684e-09
hadrons,3.4111525822e-01,6.3289705814e-09
hadrons,3.4359030705e-01,6.5193015556e-09
hadrons,3.4592937264e-01,6.6939185813e-09
hadrons,3.4847810595e-01,6.8864116184e-09
hadrons,3.5088947391e-01,7.0814198487e-09
hadrons,3.5325858548e-01,7.2928245855e-09
hadrons,3.5584153054e-01,7.5297762804e-09
hadrons,3.5828392713e-01,7.7512605211e-09
hadrons,3.6092368614e-01,7.9792595994e-09
hadrons,3.6342117392e-01,8.1720505599e-09
hadrons,3.6589524244e-01,8.3605841755e-09
hadrons,3.6859108000e-01,8.5698925300e-09
hadrons,3.7112098592e-01,8.7844409475e-09
hadrons,3.7387611570e-01,9.0447581390e-09
hadrons,3.7660981137e-01,9.3088203613e-09
hadrons,3.7917366440e-01,9.5581535928e-09
hadrons,3.8196733995e-01,9.8120734619e-09
hadrons,3.8461043827e-01,1.0040583205e-08
hadrons,3.8720723025e-01,1.0267846217e-08
hadrons,3.9006008996e-01,1.0520416767e-08
hadrons,3.9273734756e-01,1.0779200686e-08
hadrons,3.9563095761e-01,1.1070276868e-08
hadrons,3.9852371398e-01,1.1366790045e-08
hadrons,4.0123675637e-01,1.1651359170e-08
hadrons,4.0419298261e-01,1.1968538151e-08
hadrons,4.0696724423e-01,1.2270787351e-08
hadrons,4.0971498369e-01,1.2569947091e-08
hadrons,4.1271072487e-01,1.2909379699e-08
hadrons,4.1552034270e-01,1.3224108935e-08
hadrons,4.1860508464e-01,1.3560956071e-08
hadrons,4.2150171106e-01,1.3847223911e-08
hadrons,4.2434757750e-01,1.4103411951e-08
hadrons,4.2747408539e-01,1.4379658203e-08
hadrons,4.3040814164e-01,1.4655065781e-08
hadrons,4.3360341387e-01,1.4996362177e-08
hadrons,4.3677381551e-01,1.5352150939e-08
hadrons,4.3974725431e-01,1.5699638330e-08
hadrons,4.4298721763e-01,1.6099543522e-08
hadrons,4.4605256137e-01,1.6474478926e-08
hadrons,4.4906418857e-01,1.6840189110e-08
hadrons,4.5234764204e-01,1.7199346243e-08
hadrons,4.5545242306e-01,1.7517552031e-08
hadrons,4.5883361950e-01,1.7872097295e-08
hadrons,4.6216279736e-01,1.8276622269e-08
hadrons,4.6530907754e-01,1.8686320041e-08
hadrons,4.6873737488e-01,1.9133730975e-08
hadrons,4.7195465020e-01,1.9504348213e-08
hadrons,4.7545835619e-01,1.9865200018e-08
hadrons,4.7893479088e-01,2.0224103531e-08
hadrons,4.8219525029e-01,2.0607054480e-08
hadrons,4.8577497373e-01,2.1064502009e-08
hadrons,4.8913639640e-01,2.1504582176e-08
hadrons,4.9243892110e-01,2.1949177563e-08
hadrons,4.9603951352e-01,2.2422074778e-08
hadrons,4.9609469155e-01,2.2431635311e-08
hadrons,4.9614986866e-01,2.2436418330e-08
hadrons,4.9648108143e-01,2.2479502836e-08
hadrons,4.9689541010e-01,2.2532274731e-08
hadrons,4.9775278350e-01,2.2638189232e-08
hadrons,4.9780814503e-01,2.2647843149e-08
hadrons,4.9786351980e-01,2.2652671033e-08
hadrons,4.9794658997e-01,2.2667162099e-08
hadrons,4.9816817345e-01,2.2691333652e-08
hadrons,4.9858390296e-01,2.2744602832e-08
hadrons,4.9944418979e-01,2.2851515396e-08
hadrons,4.9947196384e-01,2.2851515396e-08
hadrons,4.9955530238e-01,2.2866133664e-08
hadrons,4.9969422610e-01,2.2880761283e-08
hadrons,5.0036160651e-01,2.2954038606e-08
hadrons,5.0130859173e-01,2.3052105208e-08
hadrons,5.0315196598e-01,2.3239590537e-08
hadrons,5.0683089677e-01,2.3599016511e-08
hadrons,5.0685908159e-01,2.3604047158e-08
hadrons,5.0688727521e-01,2.3604047158e-08
hadrons,5.0694365270e-01,2.3609078878e-08
hadrons,5.0705643372e-01,2.3624181764e-08
hadrons,5.0725386268e-01,2.3644333546e-08
hadrons,5.0767717434e-01,2.3684688692e-08
hadrons,5.0855315125e-01,2.3775740430e-08
hadrons,5.1028126537e-01,2.3958894041e-08
hadrons,5.1030964207e-01,2.3964001404e-08
hadrons,5.1033802035e-01,2.3964001404e-08
hadrons,5.1039478164e-01,2.3974219398e-08
hadrons,5.1050833771e-01,2.3989555867e-08
hadrons,5.1073551110e-01,2.4015137579e-08
hadrons,5.1121858844e-01,2.4071514463e-08
hadrons,5.1215763327e-01,2.4189821078e-08
hadrons,5.1404090081e-01,2.4433388925e-08
hadrons,5.1756913356e-01,2.4911970430e-08
hadrons,5.2106362888e-01,2.5410756260e-08
hadrons,5.2487351813e-01,2.5980376296e-08
hadrons,5.2847610293e-01,2.6511853230e-08
hadrons,5.3239940638e-01,2.7048438022e-08
hadrons,5.3605364677e-01,2.7513651157e-08
hadrons,5.3970295600e-01,2.7951093173e-08
hadrons,5.4367936372e-01,2.8371290531e-08
hadrons,5.4741102658e-01,2.8767126909e-08
hadrons,5.5147489921e-01,2.9261900223e-08
hadrons,5.5550715610e-01,2.9841418707e-08
hadrons,5.5835657939e-01,3.0257767971e-08
hadrons,5.5841868940e-01,3.0277122416e-08
hadrons,5.6340962008e-01,3.1061587685e-08
hadrons,5.6730825210e-01,3.1595824027e-08
hadrons,5.7113856519e-01,3.2111856944e-08
hadrons,5.7534659146e-01,3.2685052622e-08
hadrons,5.7926339651e-01,3.3247211361e-08
hadrons,5.8356373492e-01,3.3963525839e-08
hadrons,5.8783061795e-01,3.4695273385e-08
hadrons,5.9179949255e-01,3.5337173944e-08
hadrons,5.9615974409e-01,3.5952609662e-08
hadrons,6.0028499753e-01,3.6508656538e-08
hadrons,6.0474139620e-01,3.7120748521e-08
hadrons,6.0916312540e-01,3.7743104695e-08
hadrons,6.1331013559e-01,3.8400442341e-08
hadrons,6.1786323915e-01,3.9160945452e-08
hadrons,6.2213866565e-01,3.9910978657e-08
hadrons,6.2633918789e-01,4.0649375476e-08
hadrons,6.2640885118e-01,4.0666707934e-08
hadrons,6.2647853113e-01,4.0675376934e-08
hadrons,6.2661790537e-01,4.0701397246e-08
hadrons,6.2693160855e-01,4.0753487815e-08
hadrons,6.2748969490e-01,4.0849158917e-08
hadrons,6.2864231526e-01,4.1049922012e-08
hadrons,6.3095392049e-01,4.1401431185e-08
hadrons,6.3098900779e-01,4.1410259068e-08
hadrons,6.3102409704e-01,4.1410259068e-08
hadrons,6.3123469150e-01,4.1436747227e-08
hadrons,6.3148047087e-01,4.1480936343e-08
hadrons,6.3204260656e-01,4.1551734248e-08
hadrons,6.3309795556e-01,4.1693692767e-08
hadrons,6.3528460241e-01,4.1988015195e-08
hadrons,6.3531993959e-01,4.1996965861e-08
hadrons,6.3535526968e-01,4.1996965861e-08
hadrons,6.3556730055e-01,4.2023831602e-08
hadrons,6.3585012449e-01,4.2068644503e-08
hadrons,6.3645155010e-01,4.2149428642e-08
hadrons,6.3762063226e-01,4.2311464916e-08
hadrons,6.3765609030e-01,4.2320484532e-08
hadrons,6.3769155938e-01,4.2320484532e-08
hadrons,6.3776248531e-01,4.2329506071e-08
hadrons,6.3793984374e-01,4.2356584540e-08
hadrons,6.3822372344e-01,4.2392715342e-08
hadrons,6.3882739415e-01,4.2483178401e-08
hadrons,6.3886291929e-01,4.2483178401e-08
hadrons,6.3889844641e-01,4.2492234622e-08
hadrons,6.3911166881e-01,4.2519414869e-08
