flavor,mass_GeV,channel,production_weight_fraction,accepted_peak_fraction
Ue,0.55,Dmeson,0.8416311885632575,0.7353103350193303
Ue,0.55,Bc,0.0001730775987196693,0.00026756882440808795
Ue,0.55,tau,4.1172554171479544e-05,5.5188316128279764e-05
Ue,0.55,induced_tau,0.006745987037598832,0.004380537953872461
Ue,0.55,Kmeson,0.0,0.0
Ue,0.55,WZ,0.0001434781619940072,0.0004123364068973074
Ue,0.575,Bmeson,0.15338290663397486,0.27666175659306613
Ue,0.575,Dmeson,0.839705865398741,0.71250711216645
Ue,0.575,Bc,0.00017500318237474778,0.0003153102655028018
Ue,0.575,tau,3.77396750990744e-05,6.007449322827492e-05
Ue,0.575,induced_tau,0.006552916664366488,0.009939978617281449
Ue,0.575,Kmeson,0.0,0.0
Ue,0.575,WZ,0.00014556844544367988,0.0005157678644712821
Ue,0.6,Bmeson,0.15210804999980723,0.23387151284889468
Ue,0.6,Dmeson,0.8415290317367147,0.7601126714365765
Ue,0.6,Bc,0.00016977059715392518,0.00022715870863825795
Ue,0.6,tau,3.740242645886181e-05,4.458598076978839e-05
Ue,0.6,induced_tau,0.006009143602144459,0.005336108551963808
Ue,0.6,Kmeson,0.0,0.0
Ue,0.6,WZ,0.00014660163772094723,0.0004079624731569864
Ue,0.625,Bmeson,0.15166660305939839,0.24237786730040736
Ue,0.625,Dmeson,0.8421127788635776,0.7525351314479688
Ue,0.625,Bc,0.00017217791459024043,0.0002523035397510616
Ue,0.625,tau,3.60693891371551e-05,4.19726338519631e-05
Ue,0.625,induced_tau,0.005861252905672178,0.004406872129687846
Ue,0.625,Kmeson,0.0,0.0
Ue,0.625,WZ,0.00015111786762438047,0.0003858529483330328
Ue,0.65,Bmeson,0.15590652783913134,0.2454281737597895
Ue,0.65,Dmeson,0.8380735108775844,0.7482521956922664
Ue,0.65,Bc,0.0001760131604449969,0.0002930629606364249
Ue,0.65,tau,3.4186074955673756e-05,4.0198801533588684e-05
Ue,0.65,induced_tau,0.005654670567763514,0.005619095973686512
Ue,0.65,Kmeson,0.0,0.0
Ue,0.65,WZ,0.00015509148012002877,0.00036727281208746404
Ue,0.675,Bmeson,0.15536393900048584,0.21956101796841154
Ue,0.675,Dmeson,0.8390022349363806,0.775575638173863
Ue,0.675,Bc,0.00017719535585897998,0.00025292873825786107
Ue,0.675,tau,3.126594481256684e-05,3.334677314444967e-05
Ue,0.675,induced_tau,0.005267651752235243,0.0041980508537041465
Ue,0.675,Kmeson,0.0,0.0
Ue,0.675,WZ,0.0001577130102267645,0.0003790174926190731
Ue,0.7,Bmeson,0.15834695148615943,0.24309600854336788
Ue,0.7,Dmeson,0.8363177084677141,0.7518353244723106
Ue,0.7,Bc,0.0001786084687270185,0.0002919012526609862
Ue,0.7,tau,3.0722690211139566e-05,3.4730188815651436e-05
Ue,0.7,induced_tau,0.0049647361771314015,0.004375931257637947
Ue,0.7,Kmeson,0.0,0.0
Ue,0.7,WZ,0.00016127271005675632,0.0003661042852069746
Ue,0.725,Bmeson,0.15886097425653012,0.2410428598829648
Ue,0.725,Dmeson,0.8361255843730564,0.7547112281704599
Ue,0.725,Bc,0.0001756103018306978,0.0002701484276098601
Ue,0.725,tau,2.8302875757978764e-05,2.9178814421919055e-05
Ue,0.725,induced_tau,0.004647044336762246,0.003585489681510548
Ue,0.725,Kmeson,0.0,0.0
Ue,0.725,WZ,0.00016248385606250118,0.00036109502303300196
Ue,0.75,Bmeson,0.1593486778952746,0.1782164467303257
Ue,0.75,Dmeson,0.8358416756285936,0.8182591000548762
Ue,0.75,Bc,0.00017681637672480613,0.0002269987003886739
Ue,0.75,tau,2.5462996371456306e-05,2.4837353803203887e-05
Ue,0.75,induced_tau,0.0044420613488834115,0.0029439503060248095
Ue,0.75,Kmeson,0.0,0.0
Ue,0.75,WZ,0.0001653057541518882,0.0003286668545811656
Ue,0.775,Bmeson,0.15658938704237785,0.1976248522897779
Ue,0.775,Dmeson,0.838931080474243,0.7989195348551023
Ue,0.775,Bc,0.00018204095691739977,0.00022848077299596743
Ue,0.775,tau,2.4717882212441298e-05,2.4737661231150252e-05
Ue,0.775,induced_tau,0.004102917217940372,0.0028438989198520254
Ue,0.775,Kmeson,0.0,0.0
Ue,0.775,WZ,0.00016985642630903595,0.0003584955010408229
Ue,0.8,Bmeson,0.1565722287241284,0.2203821927890736
Ue,0.8,Dmeson,0.839310741836065,0.7758997707248326
Ue,0.8,Bc,0.00018134011823107198,0.0002591376646013514
Ue,0.8,tau,2.2837986329358688e-05,2.280231171508305e-05
Ue,0.8,induced_tau,0.003742284126379816,0.0030937663736445363
Ue,0.8,Kmeson,0.0,0.0
Ue,0.8,WZ,0.00017056720886645134,0.00034233013613306734
Ue,0.825,Bmeson,0.15491184474177433,0.20016601396096095
Ue,0.825,Dmeson,0.841386485444387,0.7966663643757385
Ue,0.825,Bc,0.00018087566661477577,0.00022990081001221462
Ue,0.825,tau,2.0985214109155732e-05,2.014926853470444e-05
