flavor,boundary,item,classification,mass_bin_low_GeV,mass_bin_high_GeV,n_mass_points,median_low_shift_pct,median_high_shift_pct,min_shift_pct,max_shift_pct,max_abs_shift_pct,n_missing_boundaries
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,9.299999999999999,9.6,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,9.9,10.200000000000001,1,,,,,,2
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",0.0,0.3,7,-34.323287235446784,232.67095224941573,-34.523830310451196,234.3375532211894,234.3375532211894,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",0.3,0.6,17,-30.807414684576273,228.94921087871413,-34.44589799898266,234.28374226379236,234.28374226379236,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",0.6,0.8999999999999999,12,-31.965388137456674,43.37369426631056,-32.54570484602972,44.379075689261605,44.379075689261605,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",0.8999999999999999,1.2,12,-32.25028938404904,44.00526396384382,-33.27417583839307,45.21134511529401,45.21134511529401,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",1.2,1.5,12,-32.42896292763908,44.34174758548507,-33.19832280100727,45.11982937111594,45.11982937111594,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",1.5,1.8,12,-31.74078810265133,43.0172673846037,-32.7188270676997,44.89209145435815,44.89209145435815,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",1.7999999999999998,2.0999999999999996,9,-26.797878599206125,40.617888957094415,-29.806943763077033,41.983263853046246,41.983263853046246,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",2.1,2.4,1,-25.631634896405544,43.0864287726388,-25.631634896405544,43.0864287726388,43.0864287726388,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",2.4,2.6999999999999997,2,-26.176538271262846,44.31757039601807,-26.657362259677676,44.319901494792326,44.319901494792326,0
