event,	id,	pt,	eta,	phi,	momentum,	mass
78,	9900015,	17.0184,	2.13954,	-0.275017,	73.2921,	15
79,	-9900015,	3.72108,	1.66832,	-0.892746,	10.2177,	15
79,	-9900015,	3.72108,	1.66832,	-0.892746,	10.2177,	15
80,	9900015,	39.2835,	-0.882296,	-1.13488,	55.5915,	15
81,	9900015,	22.9304,	0.930556,	1.77966,	33.596,	15
82,	-9900015,	5.46254,	-5.81804,	3.0412,	918.567,	15
82,	-9900015,	5.46254,	-5.81804,	3.0412,	918.567,	15
83,	9900015,	22.1308,	-2.99334,	-0.308018,	221.334,	15
83,	9900015,	22.1308,	-2.99334,	-0.308018,	221.334,	15
84,	9900015,	23.0858,	4.69891,	1.50842,	1267.83,	15
84,	9900015,	23.0806,	4.69892,	1.50842,	1267.57,	15
84,	9900015,	23.0806,	4.69892,	1.50842,	1267.57,	15
85,	9900015,	37.9449,	2.44818,	-1.22671,	221.1,	15
85,	9900015,	37.9449,	2.44818,	-1.22671,	221.1,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
87,	9900015,	24.9938,	2.52111,	-0.783255,	156.496,	15
88,	-9900015,	34.3985,	-1.24919,	0.445852,	64.9144,	15
88,	-9900015,	34.3977,	-1.2492,	0.445852,	64.9132,	15
88,	-9900015,	34.3977,	-1.2492,	0.445852,	64.9132,	15
89,	-9900015,	35.5653,	1.76517,	2.11864,	106.94,	15
89,	-9900015,	35.5652,	1.76517,	2.11864,	106.939,	15
90,	9900015,	66.0414,	3.10859,	-1.31607,	740.789,	15
90,	9900015,	66.0414,	3.10859,	-1.31607,	740.789,	15
91,	9900015,	21.5323,	3.73613,	-1.27169,	451.742,	15
91,	9900015,	21.5323,	3.73613,	-1.27169,	451.742,	15
92,	9900015,	17.2704,	2.71938,	0.734102,	131.573,	15
93,	9900015,	44.7243,	3.21649,	1.25645,	558.621,	15
94,	9900015,	34.0488,	3.48272,	-1.01685,	554.638,	15
95,	9900015,	10.0436,	1.73727,	-2.33524,	29.4167,	15
96,	-9900015,	41.7333,	3.26909,	-0.0304754,	549.325,	15
97,	9900015,	38.3316,	-1.09208,	2.6584,	63.5533,	15
97,	9900015,	38.3316,	-1.09208,	2.6584,	63.5533,	15
98,	-9900015,	36.3698,	0.115999,	0.540325,	36.6148,	15
98,	-9900015,	36.3698,	0.115999,	0.540325,	36.6148,	15
99,	9900015,	14.546,	-0.932612,	0.423067,	21.3438,	15
99,	9900015,	14.546,	-0.932612,	0.423067,	21.3437,	15
100,	9900015,	33.7813,	0.822443,	-2.63482,	45.865,	15
100,	9900015,	33.5615,	0.822558,	-2.63472,	45.5702,	15
100,	9900015,	33.5615,	0.822558,	-2.63472,	45.5702,	15
101,	-9900015,	37.9939,	-0.194567,	-1.76636,	38.7154,	15
101,	-9900015,	37.9939,	-0.194567,	-1.76636,	38.7154,	15
102,	-9900015,	19.0612,	1.84242,	3.10363,	61.665,	15
103,	-9900015,	19.1991,	1.11582,	0.170545,	32.4439,	15
104,	-9900015,	9.64805,	-0.825533,	1.07167,	13.1267,	15
104,	-9900015,	9.64805,	-0.825533,	1.07167,	13.1267,	15
105,	9900015,	39.6342,	2.23465,	-1.59995,	187.276,	15
106,	9900015,	32.2877,	1.50587,	2.33114,	76.359,	15
106,	9900015,	32.2743,	1.50593,	2.33115,	76.3312,	15
106,	9900015,	32.2736,	1.50593,	2.33115,	76.3298,	15
107,	-9900015,	2.31735,	1.94902,	2.93845,	8.301,	15
108,	-9900015,	32.8217,	-3.47252,	-1.68404,	529.234,	15
108,	-9900015,	32.8217,	-3.47252,	-1.68404,	529.234,	15
109,	9900015,	30.178,	1.12933,	-2.085,	51.5565,	15
110,	9900015,	15.25,	-4.83434,	-2.01575,	958.948,	15
110,	9900015,	15.2489,	-4.83435,	-2.01575,	958.883,	15
111,	9900015,	4.24186,	-2.03855,	-0.0624749,	16.5638,	15
111,	9900015,	4.24186,	-2.03855,	-0.0624749,	16.5638,	15
112,	-9900015,	36.8625,	0.738103,	0.652131,	47.368,	15
113,	9900015,	38.1606,	4.28773,	-1.93262,	1389.33,	15
113,	9900015,	38.1606,	4.28773,	-1.93262,	1389.33,	15
114,	9900015,	32.0439,	2.98849,	2.7271,	318.933,	15
