event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
159,1,9900015,521,9.88089,-4.55055,-1.16861,467.837,3.6,1.19718,-2.81444,-144.78,144.783,3.05788
159,1,-9900015,-521,12.9068,-2.23877,1.61497,61.2323,3.6,-0.11242,2.54389,-11.8092,12.0784,2.54593
160,1,-9900015,-521,6.16899,2.211,-2.88672,28.4835,3.6,-3.08068,-0.802634,14.3501,14.6987,3.18347
161,1,9900015,521,11.174,-3.34613,-0.720047,158.827,3.6,3.97483,-3.48648,-74.9672,75.1459,5.28675
162,1,9900015,521,3.92048,-1.59903,-0.548683,10.0959,3.6,0.0420195,-0.0257126,-0.116862,0.12648,0.0491153
163,1,-9900015,-521,6.922,-4.12596,0.656371,214.387,3.6,0.818833,0.630654,-31.9939,31.996,1.03307
164,1,-9900015,-521,1.6982,-2.6001,2.95945,11.4962,3.6,-0.0784315,0.0144104,-0.533643,0.538936,0.0796106
164,1,9900015,521,6.94465,-3.39969,0.681187,104.129,3.6,0.756224,0.613016,-14.5641,14.5953,0.973398
166,1,9900015,521,7.09292,1.3217,-1.96786,14.2443,3.6,-0.801929,-1.91299,3.61285,4.16273,2.07283
168,1,-9900015,-521,10.1852,-1.10846,-1.25226,17.1098,3.6,1.49136,-4.52278,-6.42827,7.99884,4.76157
169,1,9900015,521,9.54246,5.44829,-0.682691,1108.66,3.6,3.30224,-2.68522,494.493,494.314,4.25465
171,1,-9900015,-521,1.21069,-2.67357,0.932186,8.81419,3.6,0.15502,0.20881,-1.87411,1.89028,0.259643
172,1,-9900015,-521,5.53574,-4.8146,0.975321,341.294,3.6,0.808326,1.1931,-88.8403,88.8261,1.44075
172,1,9900015,521,15.8385,-0.489002,-2.35359,17.7702,3.6,-1.67178,-1.68061,-1.20593,2.65748,2.3686
173,1,-9900015,-521,14.929,-3.7463,-1.52176,316.401,3.6,0.414016,-8.43794,-178.845,179.007,8.44624
173,1,9900015,521,7.58266,-3.14605,1.522,88.2892,3.6,0.0307998,0.630792,-7.32629,7.35284,0.631493
174,1,-9900015,-521,3.94158,3.58785,-2.54822,71.3112,3.6,-1.46919,-0.991405,32.0265,32.0316,1.77048
175,1,-9900015,-521,8.1407,-2.74994,-0.912947,63.9273,3.6,0.075075,-0.0969863,-0.954195,0.953993,0.121485
