# ANUBIS HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
3.268949001  4.588994417e-06
3.268622106  4.369127254e-06
3.254544423  4.849895956e-06
3.254219001  4.679315106e-06
3.253893579  4.845354099e-06
3.201964109  6.033052566e-06
3.167218315  7.281988006e-06
3.166901624  6.281302707e-06
3.166584934  6.65859451e-06
3.164118005  6.626977729e-06
3.163801625  6.937652858e-06
3.163485244  6.916906513e-06
3.149386532  7.077929122e-06
3.149071624  6.945857526e-06
3.148756717  6.70495196e-06
3.096632632  8.686271801e-06
3.096323  8.491029854e-06
3.096013368  8.929552011e-06
3.047267011  9.519909339e-06
2.954913462  1.457717953e-05
2.954618  1.570807792e-05
2.954322538  1.434853146e-05
2.900043823  1.461194566e-05
2.759933457  2.529085201e-05
2.727952768  2.949452554e-05
2.72768  4.885185081e-05
2.727492722  2.761823255e-05
2.727407232  2.589756134e-05
2.72722  3.009529018e-05
2.726947278  2.709228668e-05
2.720091982  2.810996276e-05
2.71982  3.192329168e-05
2.719548018  2.741030186e-05
2.698599833  3.7991913e-05
2.69833  2.99243818e-05
2.698060167  3.680294464e-05
2.66886686  3.603576992e-05
2.6686  3.855532704e-05
2.66833314  3.021679604e-05
2.62659227  3.455134562e-05
2.552295204  4.622023543e-05
2.55204  5.019609847e-05
2.551784796  5.272443351e-05
2.54495447  4.213193539e-05
2.5447  5.340578432e-05
2.54444553  4.489827072e-05
2.499693221  5.440477313e-05
2.37892507  8.479526115e-05
2.270834061  0.0002374855594
2.270607  0.0001142843213
2.270379939  0.0001305530272
2.263991613  0.0001336450134
2.154610957  0.0001679496242
2.074215776  0.0002741507259
2.074008376  0.0002266863737
2.073800975  0.0002462671324
2.050514831  0.0003245259199
1.975515907  0.0004858434797
1.975318375  0.0003336211544
1.975120844  0.0003501560851
1.969057885  0.000378017054
1.968860999  0.0003635541036
1.968664113  0.0003046993024
1.968035785  0.0003701440463
1.967839001  0.0003926080021
1.967642217  0.0002958647609
1.95144792  0.0008233029895
1.91669204  0.0004782674417
1.91650039  0.0004582998329
1.91630874  0.0003456627233
1.882776634  0.0004084253321
1.882400117  0.0005544343098
1.870358016  0.0006896999216
1.870170999  0.0006054978846
1.869983982  0.0004449632853
1.869335916  0.0005242774244
1.869149001  0.0006610957785
1.868962086  0.0005193403509
1.862877894  0.0005637310819
1.862691625  0.0004427644978
1.862505355  0.0004916781493
1.857167247  0.0004900682323
1.777618743  0.0009061801797
1.777440999  0.0005751227388
1.777263255  0.000949985285
1.767441575  0.0008416001307
1.764178025  0.0007564870066
1.764001625  0.0008358134874
1.763825224  0.001510699057
1.734345618  0.00124404771
1.734172201  0.0009695984188
1.733998784  0.0009479958522
1.724931087  0.0008581637191
1.724758611  0.00111046939
1.724586135  0.0007129343169
1.682050835  0.001149912446
1.637803764  0.001213659565
1.63764  0.00124689848
1.637476236  0.001342884106
1.633293313  0.003429387599
1.63313  0.001472228635
1.632966687  0.002907360877
1.629187727  0.001142416061
1.629024825  0.00121345604
1.628861922  0.00233712612
1.621812165  0.001574048564
1.62165  0.0014453531
1.621487835  0.001308724234
1.619773196  0.001346290539
1.619611234  0.00199576338
1.619449273  0.001611702772
1.600785595  0.002271346363
1.523446538  0.001644469789
1.495779563  0.002248259913
1.49563  0.002498779099
1.495480437  0.003852393051
1.492679253  0.00277332712
1.49253  0.002062603214
1.492380747  0.003422433529
1.47794778  0.002867469316
1.4778  0.003160781052
1.47765222  0.002308497815
1.470375024  0.002429282987
1.470228001  0.003480956598
1.470080978  0.003175708393
1.449843977  0.002822642813
1.420118999  0.003172102028
1.419977001  0.00348759823
1.419835003  0.003128001316
1.379797391  0.004084123218
1.371675155  0.008204332898
1.371538001  0.004365495746
1.371400847  0.007315963758
1.370789066  0.003527796787
1.370652001  0.004384796707
1.370514936  0.004397031598
1.365217133  0.00514357836
1.365080625  0.005401269276
1.364944116  0.004961938153
1.32141913  0.00561377188
1.321287001  0.006334099416
1.321154872  0.006744457803
1.314961107  0.006310259227
1.314829624  0.005202525202
1.314698142  0.006810479558
1.313134978  0.00463258574
1.266517264  0.007229617082
1.266390625  0.007944930978
1.266263985  0.01649441179
1.265631175  0.007203852284
1.265504624  0.007976589088
1.265378074  0.008826348
1.24969324  0.008399045612
1.216261238  0.009132823442
1.216139625  0.006911647872
1.216018011  0.01023433938
1.189316574  0.009654421537
1.131856897  0.03307376548
1.09399839  0.02435844022
1.093889001  0.03402945237
1.093779612  0.02982436653
1.089327923  0.03008350966
1.089219001  0.01740006386
1.089110079  0.01941421398
1.08659765  0.01986906308
1.086489001  0.05580596251
1.086380352  0.02025772294
1.077173281  0.03215089706
1.07239623  0.02428533712
1.072289001  0.02432221442
1.072181772  0.02153723776
1.025131604  0.02597681351
1.019561946  0.02656447573
1.01946  0.03002230979
1.019358054  0.02846146181
1.010160007  0.03329677651
1.010059001  0.03378539841
1.009957995  0.02106590981
1.0001  0.03352926173
1  0.0464203026
0.9999  0.03700863958
0.9974281083  0.0284288577
0.9973283755  0.03252686657
0.9972286427  0.04071875727
0.9888404987  0.03513434096
0.9887416245  0.03182217416
0.9886427503  0.03936290831
0.9841700317  0.06068851865
0.9840716245  0.03101498707
0.9839732173  0.04808247296
0.9814397587  0.03214231316
0.9813416245  0.0417650092
0.9812434903  0.04638464173
0.9756042272  0.03015066712
0.9727562669  0.03558601003
0.9726590011  0.03251199045
0.9725617351  0.05263658925
0.9672383387  0.05391795333
0.9671416245  0.04759297207
0.9670449103  0.03426153557
0.957875778  0.05653293511
0.95778  0.06537106174
0.957684222  0.03933120423
0.948473839  0.03855682619
0.948379001  0.04334698778
0.9482841631  0.05321167471
0.9284696756  0.05785638277
0.911460138  0.04436302779
0.911369001  0.0448350896
0.9112778642  0.06265042646
0.9050021157  0.1669506618
0.9049116245  0.04829954889
0.9048211333  0.05993597594
0.892270217  0.06184096318
0.892180999  0.1452599173
0.8920917808  0.06249280626
0.8836123445  0.08965660628
0.8808564523  0.1075074845
0.8807683755  0.1084282163
0.8806802987  0.06365078466
0.8675983757  0.08855718763
0.8675116245  0.1098408424
0.8674248733  0.1587112666
0.8433159477  0.1179386185
0.8432316245  0.08688990445
0.8431473013  0.08146289291
0.8409222142  0.1197199998
0.8063022467  0.1120734829
0.8062216245  0.1220595765
0.8061410023  0.139863911
0.8002945801  0.2491990758
0.782738266  0.09898357861
0.78266  0.1945479651
0.782581734  0.1235875409
0.7756985611  0.1170959214
0.775620999  0.1396588008
0.7755434369  0.119385896
0.775337526  0.149335096
0.77526  0.1248948542
0.775182474  0.1240607027
0.7616297967  0.1712272758
0.7248330322  0.3409473561
0.6898140368  0.3538920022
0.6564869208  0.2553318851
0.624769944  0.3365356265
0.599395309  0.6134571327
0.5993353755  0.473459513
0.599275442  0.6684809884
0.5945853155  0.5239689136
0.5658590026  0.8004216693
0.547862  0.9434062316
0.5385205496  0.9022463087
