# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
2.6815e-05  0.13
2.7329e-05  0.13
2.7854e-05  0.13
2.8389e-05  0.13
2.8934e-05  0.13
2.949e-05  0.13
3.0056e-05  0.13
3.0634e-05  0.13
3.1222e-05  0.13
3.1821e-05  0.13
3.2433e-05  0.13
3.3055e-05  0.13
3.369e-05  0.13
3.4337e-05  0.13
3.4997e-05  0.13
3.5669e-05  0.13
3.6354e-05  0.13
3.7052e-05  0.13
3.7763e-05  0.13
3.8489e-05  0.13
3.9228e-05  0.13
3.9981e-05  0.13
4.0749e-05  0.13
4.1531e-05  0.13
4.2329e-05  0.13
4.3142e-05  0.13
4.397e-05  0.13
4.4815e-05  0.13
4.5675e-05  0.13
4.6553e-05  0.13
4.7447e-05  0.13
4.8358e-05  0.13
4.9286e-05  0.13
5.0233e-05  0.13
5.1198e-05  0.13
5.2181e-05  0.13
5.3183e-05  0.13
5.4204e-05  0.13
5.5245e-05  0.13
5.6306e-05  0.13
5.7387e-05  0.13
5.8489e-05  0.13
5.9613e-05  0.13
6.0757e-05  0.13
6.1924e-05  0.13
6.3113e-05  0.13
6.4325e-05  0.13
6.5561e-05  0.13
6.682e-05  0.13
6.8103e-05  0.13
6.9411e-05  0.13
7.0744e-05  0.13
7.2102e-05  0.13
7.3487e-05  0.13
7.4898e-05  0.13
7.6337e-05  0.13
7.7803e-05  0.13
7.9297e-05  0.13
8.082e-05  0.13
8.2372e-05  0.13
8.3953e-05  0.13
8.5566e-05  0.13
8.7209e-05  0.13
8.8884e-05  0.13
9.0591e-05  0.13
9.233e-05  0.13
9.4103e-05  0.13
9.5911e-05  0.13
9.7752e-05  0.13
9.963e-05  0.13
0.000101543  0.13
0.000103493  0.13
0.00010548  0.13
0.000107506  0.13
0.000109571  0.13
0.000111675  0.13
0.000113819  0.13
0.000116005  0.13
0.000118233  0.13
0.000120504  0.13
0.000122818  0.13
0.000125176  0.13
0.00012758  0.13
0.00013003  0.13
0.000132527  0.13
0.000135072  0.13
0.000137666  0.13
0.00014031  0.13
0.000143005  0.13
0.000145751  0.13
0.00014855  0.13
0.000151403  0.13
0.00015431  0.13
0.000157274  0.13
0.000160294  0.13
0.000163372  0.13
0.00016651  0.13
0.000169707  0.13
0.000172966  0.13
