# MATHUSLA HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
0.6564869208  2.09489231e-07
0.6898140368  1.988659293e-07
0.7248330322  1.827704262e-07
0.7616297967  1.801652297e-07
0.775182474  1.668403243e-07
0.77526  1.743203395e-07
0.775337526  1.629631598e-07
0.7755434369  1.663915184e-07
0.775620999  1.687667099e-07
0.7756985611  1.712125372e-07
0.782581734  1.700847137e-07
0.78266  1.646916382e-07
0.782738266  1.648114213e-07
0.8002945801  1.600648829e-07
0.8061410023  1.571573277e-07
0.8062216245  1.558750812e-07
0.8063022467  1.54486735e-07
0.8409222142  1.451986183e-07
0.8431473013  1.47948815e-07
0.8432316245  1.454668648e-07
0.8433159477  1.496806322e-07
0.8674248733  1.423906411e-07
0.8675116245  1.416639538e-07
0.8675983757  1.431576682e-07
0.8806802987  1.398164491e-07
0.8807683755  1.379087678e-07
0.8808564523  1.451198725e-07
0.8836123445  1.399292834e-07
0.8920917808  1.374015198e-07
0.892180999  1.356446754e-07
0.892270217  1.353474866e-07
0.9048211333  1.320450877e-07
0.9049116245  1.359314362e-07
0.9050021157  1.328424863e-07
0.9112778642  1.332958068e-07
0.911369001  1.36026733e-07
0.911460138  1.293132618e-07
0.9284696756  1.30078197e-07
0.9482841631  1.301330516e-07
0.948379001  1.240034699e-07
0.948473839  1.236322447e-07
0.957684222  1.265075055e-07
0.95778  1.220643797e-07
0.957875778  1.256573294e-07
0.9670449103  1.245341592e-07
0.9671416245  1.221482381e-07
0.9672383387  1.262014815e-07
0.9725617351  1.185637216e-07
0.9726590011  1.227232935e-07
0.9727562669  1.220526007e-07
0.9756042272  1.27884896e-07
0.9812434903  1.23803682e-07
0.9813416245  1.197707668e-07
0.9814397587  1.194972722e-07
0.9839732173  1.231345835e-07
0.9840716245  1.228293531e-07
0.9841700317  1.203631572e-07
0.9886427503  1.212743971e-07
0.9887416245  1.219387572e-07
0.9888404987  1.193591935e-07
0.9972286427  1.166383124e-07
0.9973283755  1.169586176e-07
0.9974281083  1.227650393e-07
0.9999  1.187914426e-07
1  1.195019746e-07
1.0001  1.221042997e-07
1.009957995  1.185632773e-07
1.010059001  1.208572039e-07
1.010160007  1.179081384e-07
1.019358054  1.225702325e-07
1.01946  1.176406606e-07
1.019561946  1.22939651e-07
1.025131604  1.170582695e-07
1.072181772  1.108268992e-07
1.072289001  1.10578697e-07
1.07239623  1.096193666e-07
1.077173281  1.085024271e-07
1.086380352  1.095135288e-07
1.086489001  1.046198897e-07
1.08659765  1.067851205e-07
1.089110079  1.083453768e-07
1.089219001  1.101905545e-07
1.089327923  1.09813754e-07
1.093779612  1.05598274e-07
1.093889001  1.094960872e-07
1.09399839  1.083406058e-07
1.131856897  1.067810186e-07
1.189316574  1.031724252e-07
1.216018011  1.026994686e-07
1.216139625  1.059581281e-07
1.216261238  1.025898346e-07
1.24969324  1.065976923e-07
1.265378074  1.093163954e-07
1.265504624  1.083227421e-07
1.265631175  1.0635657e-07
1.266263985  1.101213021e-07
1.266390625  1.047735031e-07
1.266517264  1.086611304e-07
1.313134978  1.097929728e-07
1.314698142  1.094041031e-07
1.314829624  1.146809742e-07
1.314961107  1.143929477e-07
1.321154872  1.138748494e-07
1.321287001  1.132003204e-07
1.32141913  1.146975223e-07
1.364944116  1.236537917e-07
1.365080625  1.223181906e-07
1.365217133  1.226805275e-07
1.370514936  1.296463865e-07
1.370652001  1.301742687e-07
1.370789066  1.264955347e-07
1.371400847  1.274547538e-07
1.371538001  1.249736462e-07
1.371675155  1.287043125e-07
1.379797391  1.274337384e-07
1.419835003  1.404094183e-07
1.419977001  1.433525544e-07
1.420118999  1.401365798e-07
1.449843977  1.549372499e-07
1.470080978  1.581088933e-07
1.470228001  1.572284629e-07
1.470375024  1.599437541e-07
1.47765222  1.670640071e-07
1.4778  1.594922793e-07
1.47794778  1.621068744e-07
1.492380747  1.668554877e-07
1.49253  1.655497882e-07
1.492679253  1.644657385e-07
1.495480437  1.635105335e-07
1.49563  1.704781411e-07
1.495779563  1.669070849e-07
1.523446538  1.7480478e-07
1.600785595  1.850597673e-07
1.619449273  1.790391462e-07
1.619611234  1.764572084e-07
1.619773196  1.808960981e-07
1.621487835  1.791579498e-07
1.62165  1.779852917e-07
1.621812165  1.79490616e-07
1.628861922  1.836981648e-07
1.629024825  1.829463764e-07
1.629187727  1.833376018e-07
1.632966687  1.773171792e-07
1.63313  1.800838859e-07
1.633293313  1.775208087e-07
1.637476236  1.749615866e-07
1.63764  1.703125866e-07
1.637803764  1.728347326e-07
1.682050835  1.685620665e-07
1.724586135  1.573386902e-07
1.724758611  1.586393676e-07
1.724931087  1.59873787e-07
1.733998784  1.581472652e-07
1.734172201  1.568922169e-07
