# MATHUSLA HNL |U_{\mu}|^2 sensitivity (BC7 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
1.492380747  2.520973013e-09
1.49253  2.50582187e-09
1.492679253  2.455889036e-09
1.495480437  2.404187996e-09
1.49563  2.530839284e-09
1.495779563  2.633977005e-09
1.523446538  2.606884718e-09
1.600785595  2.239214108e-09
1.619449273  2.544324558e-09
1.619611234  2.470826234e-09
1.619773196  2.36818535e-09
1.621487835  2.400393208e-09
1.62165  2.392323944e-09
1.621812165  2.640673341e-09
1.628861922  2.476045066e-09
1.629024825  2.387997425e-09
1.629187727  2.602674888e-09
1.632966687  2.38212261e-09
1.63313  2.414560739e-09
1.633293313  2.63609526e-09
1.637476236  2.477458268e-09
1.63764  2.689883555e-09
1.637803764  2.421513609e-09
1.682050835  2.596863104e-09
1.724586135  2.764937916e-09
1.724758611  2.971811372e-09
1.724931087  2.989474748e-09
1.733998784  3.165087656e-09
1.734172201  2.793018497e-09
1.734345618  2.552306226e-09
1.763825224  3.103439345e-09
1.764001625  3.116595361e-09
1.764178025  3.048262248e-09
1.767441575  2.98201963e-09
1.777263255  3.184442763e-09
1.777440999  3.271331293e-09
1.777618743  3.169313272e-09
1.857167247  5.7847358e-09
1.862505355  7.413887298e-09
1.862691625  7.326535894e-09
1.862877894  7.64417977e-09
1.868962086  7.524348682e-09
1.869149001  7.193052808e-09
1.869335916  7.468182549e-09
1.869983982  7.364277191e-09
1.870170999  7.768211565e-09
1.870358016  7.28418865e-09
1.882400117  7.489091174e-09
1.882776634  7.456282939e-09
1.91630874  7.424738329e-09
1.91650039  7.163588247e-09
1.91669204  7.786588954e-09
1.95144792  7.136798219e-09
1.967642217  7.142397131e-09
1.967839001  7.437486461e-09
1.968035785  7.342540559e-09
1.968664113  6.943687533e-09
1.968860999  7.154506313e-09
1.969057885  7.226320782e-09
1.975120844  7.347123672e-09
1.975318375  7.200611583e-09
1.975515907  7.129273033e-09
2.050514831  7.072854541e-09
2.073800975  7.255112053e-09
2.074008376  7.105286992e-09
2.074215776  7.171156372e-09
2.154610957  7.409498567e-09
2.263991613  7.163239245e-09
2.270379939  7.23691085e-09
2.270607  7.12815095e-09
2.270834061  7.281438802e-09
2.37892507  7.705292754e-09
2.499693221  9.016851798e-09
2.54444553  8.901393658e-09
2.5447  9.202483116e-09
2.54495447  9.32037072e-09
2.551784796  9.147767208e-09
2.55204  9.364907657e-09
2.552295204  9.016885591e-09
2.62659227  1.023584493e-08
2.66833314  1.101252228e-08
2.6686  1.127310253e-08
2.66886686  1.157108339e-08
2.698060167  1.176067176e-08
2.69833  1.17740342e-08
2.698599833  1.223246085e-08
2.719548018  1.242323267e-08
2.71982  1.233299405e-08
2.720091982  1.208407861e-08
2.726947278  1.301940283e-08
2.72722  1.304151251e-08
2.727407232  1.271545392e-08
2.727492722  1.293479172e-08
2.72768  1.264019412e-08
2.727952768  1.231768153e-08
2.759933457  1.401628417e-08
2.900043823  2.223569873e-08
2.954322538  2.863342981e-08
2.954618  3.127339048e-08
2.954913462  3.052277557e-08
2.954913462  1.473095132e-07
2.954618  1.499280786e-07
2.954322538  1.494142743e-07
2.900043823  2.219760671e-07
2.759933457  5.23374625e-07
2.727952768  5.540162997e-07
2.72768  5.762119693e-07
2.727492722  5.869318084e-07
2.727407232  6.048237337e-07
2.72722  5.67554496e-07
2.726947278  5.425702454e-07
2.720091982  6.881422493e-07
2.71982  5.848340825e-07
2.719548018  5.568556037e-07
2.698599833  6.318192517e-07
2.69833  6.678556696e-07
2.698060167  7.830213437e-07
2.66886686  8.426929337e-07
2.6686  7.704080011e-07
2.66833314  8.692125267e-07
2.62659227  8.61567497e-07
2.552295204  1.501862058e-06
2.55204  1.180179977e-06
2.551784796  1.270189178e-06
2.54495447  1.399265303e-06
2.5447  1.252394905e-06
2.54444553  1.545174234e-06
2.499693221  1.740848209e-06
2.37892507  2.632262416e-06
2.270834061  5.02267243e-06
2.270607  3.853838887e-06
2.270379939  6.523569149e-06
2.263991613  4.087331096e-06
2.154610957  6.174424961e-06
2.074215776  1.032404996e-05
2.074008376  1.344268188e-05
2.073800975  8.136027244e-06
2.050514831  8.629426895e-06
1.975515907  1.222830985e-05
1.975318375  1.465262125e-05
1.975120844  1.141048963e-05
1.969057885  3.3678923e-05
1.968860999  1.498456446e-05
1.968664113  1.380546585e-05
1.968035785  1.238490443e-05
1.967839001  4.186546079e-05
1.967642217  1.282604181e-05
1.95144792  1.48666123e-05
1.91669204  1.543435788e-05
1.91650039  1.696605981e-05
1.91630874  2.015613918e-05
1.882776634  1.716892257e-05
1.882400117  1.830211251e-05
1.870358016  1.604652367e-05
1.870170999  2.00249646e-05
1.869983982  2.649188084e-05
1.869335916  1.996161236e-05
1.869149001  2.340461785e-05
1.868962086  2.442617296e-05
1.862877894  2.082542885e-05
1.862691625  1.945708422e-05
1.862505355  2.081474885e-05
1.857167247  2.869507155e-05
1.777618743  2.403900814e-05
1.777440999  2.660421567e-05
1.777263255  2.410218281e-05
1.767441575  3.262906542e-05
1.764178025  3.497555772e-05
1.764001625  5.074331373e-05
1.763825224  5.131387145e-05
1.734345618  5.135210707e-05
1.734172201  5.659832103e-05
1.733998784  8.960379543e-05
1.724931087  4.096967936e-05
1.724758611  4.06247204e-05
1.724586135  5.810575611e-05
1.682050835  3.23758327e-05
1.637803764  4.899147831e-05
1.63764  4.445434598e-05
1.637476236  4.851001407e-05
1.633293313  6.637563165e-05
