event,	id,	pt,	eta,	phi,	momentum,	mass
11070,	-6000113,	71.6354,	-0.764857,	-1.09862,	93.6306,	15
11071,	6000113,	66.8985,	0.484966,	-2.19398,	74.9209,	15
11071,	-6000113,	57.3068,	0.931275,	1.02174,	84.0058,	15
11072,	6000113,	76.1301,	2.15961,	2.4212,	334.33,	15
11072,	-6000113,	37.5834,	1.02401,	-0.322956,	59.0718,	15
11073,	6000113,	43.1711,	1.58276,	-1.58542,	109.521,	15
11073,	-6000113,	44.0633,	-0.148406,	1.20068,	44.5494,	15
11074,	6000113,	69.3012,	-2.09212,	-1.64167,	285.018,	15
11074,	-6000113,	78.5232,	-2.75591,	1.27251,	620.289,	15
11075,	6000113,	69.1396,	-1.09913,	1.28247,	115.281,	15
11075,	-6000113,	60.3058,	-1.13286,	-1.83229,	103.323,	15
11076,	6000113,	26.7249,	0.295026,	-1.16575,	27.8964,	15
11076,	-6000113,	163.37,	-1.27595,	-0.765978,	315.41,	15
11077,	6000113,	53.1871,	-0.232599,	1.88699,	54.6324,	15
11077,	-6000113,	49.6143,	-1.77974,	-1.46568,	151.249,	15
11078,	6000113,	104.22,	-1.76502,	-1.46274,	313.331,	15
11078,	-6000113,	40.3589,	-2.33584,	1.52506,	210.569,	15
11079,	6000113,	59.4982,	-2.60614,	-0.412914,	405.199,	15
11079,	-6000113,	52.7414,	-1.49519,	3.02823,	123.531,	15
11080,	6000113,	54.7704,	-1.47962,	1.43347,	126.492,	15
11080,	-6000113,	56.9815,	-2.68997,	-0.887029,	421.638,	15
11081,	6000113,	30.332,	-0.463206,	-2.92745,	33.6446,	15
11081,	-6000113,	105.387,	0.438823,	-0.306244,	115.698,	15
11082,	6000113,	58.6552,	0.863323,	-0.780226,	81.9057,	15
11082,	-6000113,	66.5462,	1.5421,	2.66022,	162.65,	15
11083,	6000113,	64.4544,	1.58509,	-3.09699,	163.864,	15
11083,	-6000113,	61.2854,	1.35637,	0.31001,	126.851,	15
11084,	6000113,	29.5261,	0.776221,	0.115541,	38.8768,	15
11084,	-6000113,	20.8949,	3.72494,	2.73434,	433.495,	15
11085,	6000113,	96.7401,	-1.30705,	0.389382,	191.829,	15
11085,	-6000113,	54.4314,	-0.979132,	2.60341,	82.6753,	15
11086,	6000113,	67.279,	1.04335,	1.1781,	107.343,	15
11086,	-6000113,	39.5184,	-0.765463,	-0.207432,	51.6724,	15
11087,	6000113,	75.9281,	-1.10852,	-3.0821,	127.557,	15
11087,	-6000113,	52.8079,	-1.44324,	0.117406,	118.041,	15
11088,	6000113,	81.3587,	2.39398,	0.164593,	449.438,	15
11088,	-6000113,	49.1199,	3.19245,	-1.98865,	598.996,	15
11089,	6000113,	80.0659,	-0.15619,	-2.44895,	81.0445,	15
11089,	-6000113,	46.7456,	0.506652,	0.232201,	52.8748,	15
11090,	6000113,	46.219,	1.67753,	2.38288,	128.007,	15
11090,	-6000113,	34.7047,	-0.335172,	-0.651839,	36.6724,	15
11091,	6000113,	79.603,	-2.74969,	-3.04362,	624.955,	15
11091,	-6000113,	69.9006,	-1.98973,	0.316607,	260.389,	15
11092,	6000113,	44.0726,	0.620582,	-2.38936,	52.8352,	15
11092,	-6000113,	99.6838,	1.44117,	1.96726,	222.408,	15
11093,	6000113,	58.0705,	0.579133,	2.50581,	68.084,	15
11093,	-6000113,	58.5791,	1.32335,	-0.768908,	117.809,	15
11094,	6000113,	50.0581,	-1.61474,	2.25302,	130.79,	15
11094,	-6000113,	59.0532,	-0.539536,	-0.589152,	67.8589,	15
11095,	6000113,	81.2749,	0.712727,	2.49444,	102.807,	15
11095,	-6000113,	50.9879,	1.8968,	-1.68026,	173.731,	15
11096,	6000113,	32.0782,	-2.65333,	-0.954263,	228.905,	15
11096,	-6000113,	26.6735,	0.186898,	-1.91984,	27.1407,	15
11097,	6000113,	233.782,	-1.5994,	-1.49725,	602.229,	15
11097,	-6000113,	15.5812,	-1.35986,	2.09153,	32.3492,	15
11098,	6000113,	41.475,	-3.40801,	-0.743807,	627.062,	15
11098,	-6000113,	68.0197,	-1.42284,	0.885104,	149.301,	15
11099,	6000113,	53.2243,	-3.55131,	-0.126794,	928.432,	15
11099,	-6000113,	68.1628,	-3.0261,	-2.83572,	704.299,	15
11100,	6000113,	44.5206,	-1.27112,	-0.497911,	85.599,	15
11100,	-6000113,	32.1486,	-3.39621,	2.80146,	480.368,	15
11101,	6000113,	102.913,	-0.786246,	1.07815,	136.395,	15
11101,	-6000113,	99.5237,	-0.798206,	-2.33205,	132.948,	15
11102,	6000113,	57.0518,	0.919913,	-1.82834,	82.9426,	15
11102,	-6000113,	66.6488,	1.23503,	1.02512,	124.277,	15
11103,	6000113,	73.3875,	-1.35374,	1.55131,	151.551,	15
11103,	-6000113,	68.8456,	-0.867264,	-2.31686,	96.4006,	15
11104,	6000113,	37.5124,	-0.120435,	1.23798,	37.7848,	15
11104,	-6000113,	43.9887,	-2.32123,	2.75837,	226.242,	15
11105,	6000113,	44.6456,	-0.144092,	0.868117,	45.1099,	15
11105,	-6000113,	98.0951,	-0.0562675,	-1.72937,	98.2504,	15
11106,	6000113,	66.8225,	0.890324,	0.725037,	95.1032,	15
11106,	-6000113,	55.4462,	0.608599,	-2.51385,	66.0355,	15
11107,	6000113,	66.844,	-3.20225,	-0.497242,	823.133,	15
11107,	-6000113,	85.7914,	-1.71063,	-2.34679,	245.072,	15
11108,	6000113,	66.6133,	0.366546,	2.223,	71.1386,	15
11108,	-6000113,	48.7451,	-0.461,	-1.18342,	54.0172,	15
11109,	6000113,	58.6886,	-2.95867,	-0.282869,	567.054,	15
11109,	-6000113,	60.8762,	-3.55237,	-3.04771,	1063.04,	15
11110,	6000113,	92.4703,	-0.224457,	-2.19648,	94.8095,	15
11110,	-6000113,	70.474,	-0.689072,	1.15602,	87.8779,	15
11111,	6000113,	44.9119,	1.98515,	-0.0798041,	166.567,	15
11111,	-6000113,	63.1765,	3.22635,	2.71902,	796.884,	15
11112,	6000113,	77.5815,	0.183631,	-2.69192,	78.8933,	15
11112,	-6000113,	77.8022,	-1.24499,	-1.7329,	146.301,	15
11113,	6000113,	106.655,	-3.04284,	-1.37423,	1120.54,	15
