u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator
2.5257701751018945e-08,2.802247964614649e-05,False,False,308.3303890303161,9.329304026284696e-07,True,2.4,Ue,399999,3042,3042,100,exact
2.9777245770815478e-08,1.494597283403538e-05,False,False,96.737980324392,6.368249944718587e-07,True,2.6,Ue,399999,3048,3048,100,exact
4.031592039131275e-08,8.267381115445e-06,False,False,31.16002428498821,4.3470131581250264e-07,True,2.8,Ue,399999,3024,3024,100,exact
7.200303660754686e-08,4.63726004876521e-06,False,False,10.50526738662367,1.2033778407775905e-06,True,3.0,Ue,399999,2929,2929,100,exact
1.027729988158313e-07,2.608607785554132e-06,False,False,6.6496140343485015,9.329304026284696e-07,True,3.2,Ue,399999,2961,2961,100,exact
1.280580795232413e-07,1.4208322459357067e-06,False,False,4.725810344969358,6.368249944718587e-07,True,3.4,Ue,299999,2235,2235,100,exact
2.520566079570947e-07,6.886604718248464e-07,False,False,3.3343576148088467,4.3470131581250264e-07,True,3.6,Ue,299999,2232,2232,100,exact
,,False,False,2.3201921480253813,3.370064329271932e-07,False,3.8,Ue,299999,2239,2239,100,exact
,,False,False,1.6195735072436124,2.6126752255633317e-07,False,4.0,Ue,299999,2138,2138,100,exact
,,False,False,1.2052842628857616,1.7834308769319093e-07,False,4.2,Ue,299999,2168,2168,100,exact
,,False,False,0.8760909356192078,1.3826221737646564e-07,False,4.4,Ue,299999,2141,2141,100,exact
,,False,False,0.6686660753315589,1.0718913192051286e-07,False,4.6,Ue,299999,2114,2114,100,exact
,,False,False,0.4968861577526905,8.309941949353404e-08,False,4.8,Ue,299999,2097,2097,100,exact
,,False,False,0.3966619696700733,6.442363508721383e-08,False,5.0,Ue,300000,2058,2058,100,exact
,,False,False,0.28464121085037125,4.99450511585514e-08,False,5.2,Ue,300000,2117,2117,100,exact
,,False,False,0.23574964337573823,4.3976036093027214e-08,False,5.4,Ue,200000,1383,1383,100,exact
,,False,False,0.2107087721178563,3.872038781812557e-08,False,5.5,Ue,200000,1363,1363,100,exact
,,False,False,0.19204923660919468,3.409285069746814e-08,False,5.6,Ue,200000,1400,1400,100,exact
,,False,False,0.14774458828315268,2.6430814869741084e-08,False,5.8,Ue,200000,1389,1389,100,exact
,,False,False,0.12256828098391195,2.0490746898158502e-08,False,6.0,Ue,200000,1422,1422,100,exact
,,False,False,0.10545440639012947,1.8041864093920717e-08,False,6.2,Ue,200000,1439,1439,100,exact
,,False,False,0.08294269274418539,1.3987131026472387e-08,False,6.4,Ue,100000,752,752,100,exact
,,False,False,0.07185264374196705,1.2315506032928261e-08,False,6.6,Ue,100000,774,774,100,exact
,,False,False,0.05927781257814121,9.547716114208066e-09,False,6.8,Ue,100000,764,764,100,exact
,,False,False,0.05003875985346919,8.40665288561835e-09,False,7.0,Ue,100000,764,764,100,exact
,,False,False,0.04145059783938432,7.401959996915652e-09,False,7.2,Ue,100000,725,725,100,exact
,,False,False,0.03462258514012671,5.7384416483024045e-09,False,7.4,Ue,100000,720,720,100,exact
,,False,False,0.031005988823890756,5.05263106533568e-09,False,7.6,Ue,100000,764,764,100,exact
,,False,False,0.0256532794982797,4.448782831127577e-09,False,7.8,Ue,100000,768,768,100,exact
,,False,False,0.021740775820197348,3.9171014908092604e-09,False,8.0,Ue,100000,749,749,100,exact
,,False,False,0.015078597188869653,2.673841615839944e-09,False,8.5,Ue,100000,761,761,100,exact
,,False,False,0.009825935906521798,1.8251834943190462e-09,False,9.0,Ue,100000,753,753,100,exact
,,False,False,0.007988613688213976,1.245883364295008e-09,False,9.5,Ue,100000,784,784,100,exact
,,False,False,0.005702959863845713,9.658832241158709e-10,False,10.0,Ue,100000,777,777,100,exact
2.549403144232192e-07,,False,True,206695677978.9349,0.1,True,0.2,Umu,862956,7143,7143,100,exact
1.8037938481241447e-07,,False,True,257350950782.28894,0.1,True,0.215,Umu,862956,7242,7242,100,exact
1.228973026721558e-07,,False,True,306221220805.7204,0.1,True,0.23,Umu,862956,7122,7122,100,exact
1.0103217716414462e-07,,False,True,254952551820.16623,0.1,True,0.245,Umu,862956,7163,7163,100,exact
1.806579306810854e-08,,False,True,1545027762549.655,0.046595256686646866,True,0.26,Umu,862956,7033,7033,100,exact
1.2831666001874978e-08,,False,True,1286289167597.5,0.031806256927941194,True,0.275,Umu,862956,7101,7101,100,exact
1.0290411755939606e-08,,False,True,977247299407.2129,0.021711179456945097,True,0.29,Umu,862956,7120,7120,100,exact
8.504966848635307e-09,,False,True,795719537827.4133,0.016831803533309618,True,0.305,Umu,862956,6835,6835,100,exact
7.713334195952973e-09,,False,True,586067087539.6127,0.01304901978014407,True,0.32,Umu,862956,6949,6949,100,exact
6.572732412739191e-09,,False,True,467769981123.6082,0.01011637979766207,True,0.335,Umu,862956,7038,7038,100,exact
6.7030108199601484e-09,,False,True,313602406510.26886,0.007842822061337682,True,0.35,Umu,862956,6878,6878,100,exact
6.63817206578086e-09,,False,True,205703618845.00143,0.006905513520162345,True,0.365,Umu,862956,7030,7030,100,exact
7.955205981985072e-09,,False,True,101519716877.66235,0.005353566677410741,True,0.38,Umu,862956,6825,6825,100,exact
2.061219063128335e-07,,False,True,334841963.4134468,0.01011637979766207,True,0.395,Umu,762956,6218,6218,100,exact
1.9727760210382137e-07,,False,True,254872744.02265742,0.007842822061337682,True,0.41,Umu,762956,6119,6119,100,exact
1.7733841433245666e-07,,False,True,235433237.79944757,0.006905513520162345,True,0.425,Umu,762956,6023,6023,100,exact
1.6992378970879705e-07,,False,True,192235612.45871237,0.006080224261649427,True,0.44,Umu,762956,6179,6179,100,exact
1.5486417481630481e-07,,False,True,159610171.00028333,0.004713753134116729,True,0.455,Umu,762956,6265,6265,100,exact
1.448171527645417e-07,,False,True,144445039.43767527,0.004713753134116729,True,0.47,Umu,762956,6132,6132,100,exact
1.348569952761418e-07,,False,True,124117063.1227818,0.003654383070957262,True,0.485,Umu,762956,6182,6182,100,exact
1.3461850577809932e-07,,False,True,103835846.31022038,0.0032176417502507355,True,0.5,Umu,762956,6077,6077,100,exact
1.1890133731358302e-07,,False,True,79787833.42299007,0.0024945081352303164,True,0.525,Umu,762956,6080,6080,100,exact
1.1372511756087952e-07,,False,True,59093614.38091663,0.0021963853724165515,True,0.55,Umu,762956,5968,5968,100,exact
1.0021551369235307e-07,,False,True,55516318.65374065,0.0017027691722259048,True,0.575,Umu,762956,6015,6015,100,exact
9.406508804333214e-08,,False,True,45614342.50504996,0.001499268432786047,True,0.6,Umu,762956,5992,5992,100,exact
8.898045164985486e-08,,False,True,34634383.5372458,0.0013200884008314222,True,0.625,Umu,762956,5987,5987,100,exact
8.30144234500739e-08,,False,True,29289563.42116379,0.0010234114021054528,True,0.65,Umu,762956,6062,6062,100,exact
7.715855881086943e-08,,False,True,22683226.762278512,0.0009011018251665037,True,0.675,Umu,762956,5930,5930,100,exact
7.005076518734339e-08,,False,True,19127037.442743853,0.0006985879746785263,True,0.7,Umu,762956,5861,5861,100,exact
6.901212777659338e-08,0.0995369225561708,False,False,14882653.724075971,0.0006150985788580505,True,0.725,Umu,762956,5876,5876,100,exact
6.311849923713183e-08,0.0829434692654712,False,False,14563239.581545517,0.0005415871378079487,True,0.75,Umu,762956,5791,5791,100,exact
5.927543024141708e-08,0.0679715496646961,False,False,11795383.120231321,0.0004768611697714474,True,0.775,Umu,762956,5911,5911,100,exact
5.457581771919127e-08,0.057951719719133946,False,False,9865790.752814813,0.0004198707084443923,True,0.8,Umu,762956,5849,5849,100,exact
5.09787299027389e-08,0.048343389666654864,False,False,8591510.067735592,0.00032550885998350565,True,0.825,Umu,762956,5796,5796,100,exact
4.9380493075928746e-08,0.04036392460923661,False,False,6924712.55960302,0.0002866067616948256,True,0.85,Umu,762956,5800,5800,100,exact
4.5573550717476555e-08,0.0340221234729635,False,False,5801164.970163847,0.0002523539170434766,True,0.875,Umu,762956,5794,5794,100,exact
3.993496639254455e-08,0.026788002211502335,False,False,4978436.58989663,0.0001956398343517065,True,0.9,Umu,762956,5699,5699,100,exact
3.6543669351375005e-08,0.021514581250800975,False,False,4201093.567080635,0.0001516716888470924,True,0.925,Umu,762956,5779,5779,100,exact
3.465634941799499e-08,0.017841229611247268,False,False,3472586.803660657,0.0001516716888470924,True,0.95,Umu,762956,5711,5711,100,exact
3.069004345255367e-08,0.014578340778693757,False,False,3174331.1548340954,0.0001335451562929903,True,0.975,Umu,762956,5759,5759,100,exact
3.0802717880995554e-08,0.011799269399675448,False,False,2236898.416547417,0.00010353218432956616,True,1.0,Umu,762956,5646,5646,100,exact
2.677666542256622e-08,0.010096750892340368,False,False,2053106.8473105126,9.115888299750837e-05,True,1.025,Umu,762956,5826,5826,100,exact
2.5729288019429332e-08,0.008720031183106778,False,False,2014952.1793846257,8.02643352225719e-05,True,1.05,Umu,762956,5660,5660,100,exact
2.360693176042295e-08,0.007508277617930925,False,False,1655770.3312488156,6.222570836730231e-05,True,1.075,Umu,762956,5728,5728,100,exact
