event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
90,9900015,66.0414,3.10859,-1.31607,740.789,15,148.0553034462413,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
90,9900015,66.0414,3.10859,-1.31607,740.789,15,148.0553034462413,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
91,9900015,21.5323,3.73613,-1.27169,451.742,15,90.28589637455734,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
91,9900015,21.5323,3.73613,-1.27169,451.742,15,90.28589637455734,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
92,9900015,17.2704,2.71938,0.734102,131.573,15,26.296395384289337,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
93,9900015,44.7243,3.21649,1.25645,558.621,15,111.646908453612,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
94,9900015,34.0488,3.48272,-1.01685,554.638,15,110.85085954680268,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
95,9900015,10.0436,1.73727,-2.33524,29.4167,15,5.879269866165734,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
96,-9900015,41.7333,3.26909,-0.0304754,549.325,15,109.78899466056667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
97,9900015,38.3316,-1.09208,2.6584,63.5533,15,12.701866680674268,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
97,9900015,38.3316,-1.09208,2.6584,63.5533,15,12.701866680674268,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
98,-9900015,36.3698,0.115999,0.540325,36.6148,15,7.3178939274522685,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
98,-9900015,36.3698,0.115999,0.540325,36.6148,15,7.3178939274522685,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
99,9900015,14.546,-0.932612,0.423067,21.3438,15,4.265806843373601,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
99,9900015,14.546,-0.932612,0.423067,21.3437,15,4.265786857209733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
100,9900015,33.7813,0.822443,-2.63482,45.865,15,9.166654057446666,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
100,9900015,33.5615,0.822558,-2.63472,45.5702,15,9.107734846367734,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
100,9900015,33.5615,0.822558,-2.63472,45.5702,15,9.107734846367734,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
101,-9900015,37.9939,-0.194567,-1.76636,38.7154,15,7.737723285635469,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
101,-9900015,37.9939,-0.194567,-1.76636,38.7154,15,7.737723285635469,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
102,-9900015,19.0612,1.84242,3.10363,61.665,15,12.324467948379999,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
103,-9900015,19.1991,1.11582,0.170545,32.4439,15,6.4842910187374665,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
104,-9900015,9.64805,-0.825533,1.07167,13.1267,15,2.6235237722857336,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
104,-9900015,9.64805,-0.825533,1.07167,13.1267,15,2.6235237722857336,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
105,9900015,39.6342,2.23465,-1.59995,187.276,15,37.42928824293867,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
106,9900015,32.2877,1.50587,2.33114,76.359,15,15.261234866948,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
106,9900015,32.2743,1.50593,2.33115,76.3312,15,15.255678713393067,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
