# Job started on: Fri Feb 20 08:44:32 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Fri Feb 20 08:44:49 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   1.5152    2.6970 6.2712e+06
   1.5152    2.7576 6.1975e+06
   1.5152    2.8182 6.1221e+06
   1.5152    2.8788 6.0447e+06
   1.5152    2.9394 5.9656e+06
   1.5152    3.0000 5.8847e+06
   2.0202   -3.0000 6.7610e+06
   2.0202   -2.9394 6.8571e+06
   2.0202   -2.8788 6.9511e+06
   2.0202   -2.8182 7.0431e+06
   2.0202   -2.7576 7.1330e+06
   2.0202   -2.6970 7.2208e+06
   2.0202   -2.6364 7.3065e+06
   2.0202   -2.5758 7.3900e+06
   2.0202   -2.5152 7.4713e+06
   2.0202   -2.4545 7.5504e+06
   2.0202   -2.3939 7.6275e+06
   2.0202   -2.3333 7.7024e+06
   2.0202   -2.2727 7.7752e+06
   2.0202   -2.2121 7.8458e+06
   2.0202   -2.1515 7.9144e+06
   2.0202   -2.0909 7.9809e+06
   2.0202   -2.0303 8.0452e+06
   2.0202   -1.9697 8.1075e+06
   2.0202   -1.9091 8.1677e+06
   2.0202   -1.8485 8.2258e+06
   2.0202   -1.7879 8.2819e+06
   2.0202   -1.7273 8.3360e+06
   2.0202   -1.6667 8.3881e+06
   2.0202   -1.6061 8.4381e+06
   2.0202   -1.5455 8.4862e+06
   2.0202   -1.4848 8.5323e+06
   2.0202   -1.4242 8.5765e+06
   2.0202   -1.3636 8.6187e+06
   2.0202   -1.3030 8.6590e+06
   2.0202   -1.2424 8.6974e+06
   2.0202   -1.1818 8.7339e+06
   2.0202   -1.1212 8.7685e+06
   2.0202   -1.0606 8.8012e+06
   2.0202   -1.0000 8.8320e+06
   2.0202   -0.9394 8.8610e+06
   2.0202   -0.8788 8.8881e+06
   2.0202   -0.8182 8.9133e+06
   2.0202   -0.7576 8.9367e+06
   2.0202   -0.6970 8.9583e+06
   2.0202   -0.6364 8.9780e+06
   2.0202   -0.5758 8.9960e+06
   2.0202   -0.5152 9.0121e+06
   2.0202   -0.4545 9.0264e+06
   2.0202   -0.3939 9.0389e+06
   2.0202   -0.3333 9.0496e+06
   2.0202   -0.2727 9.0586e+06
   2.0202   -0.2121 9.0657e+06
   2.0202   -0.1515 9.0710e+06
   2.0202   -0.0909 9.0746e+06
   2.0202   -0.0303 9.0764e+06
   2.0202    0.0303 9.0764e+06
   2.0202    0.0909 9.0746e+06
   2.0202    0.1515 9.0710e+06
   2.0202    0.2121 9.0657e+06
   2.0202    0.2727 9.0586e+06
   2.0202    0.3333 9.0496e+06
   2.0202    0.3939 9.0389e+06
   2.0202    0.4545 9.0264e+06
   2.0202    0.5152 9.0121e+06
   2.0202    0.5758 8.9960e+06
   2.0202    0.6364 8.9780e+06
   2.0202    0.6970 8.9583e+06
   2.0202    0.7576 8.9367e+06
   2.0202    0.8182 8.9133e+06
   2.0202    0.8788 8.8881e+06
   2.0202    0.9394 8.8610e+06
   2.0202    1.0000 8.8320e+06
   2.0202    1.0606 8.8012e+06
   2.0202    1.1212 8.7685e+06
   2.0202    1.1818 8.7339e+06
   2.0202    1.2424 8.6974e+06
   2.0202    1.3030 8.6590e+06
   2.0202    1.3636 8.6187e+06
   2.0202    1.4242 8.5765e+06
   2.0202    1.4848 8.5323e+06
   2.0202    1.5455 8.4862e+06
   2.0202    1.6061 8.4381e+06
   2.0202    1.6667 8.3881e+06
   2.0202    1.7273 8.3360e+06
   2.0202    1.7879 8.2819e+06
   2.0202    1.8485 8.2258e+06
   2.0202    1.9091 8.1677e+06
   2.0202    1.9697 8.1075e+06
   2.0202    2.0303 8.0452e+06
   2.0202    2.0909 7.9809e+06
   2.0202    2.1515 7.9144e+06
   2.0202    2.2121 7.8458e+06
   2.0202    2.2727 7.7752e+06
   2.0202    2.3333 7.7024e+06
   2.0202    2.3939 7.6275e+06
   2.0202    2.4545 7.5504e+06
   2.0202    2.5152 7.4713e+06
   2.0202    2.5758 7.3900e+06
   2.0202    2.6364 7.3065e+06
   2.0202    2.6970 7.2208e+06
   2.0202    2.7576 7.1330e+06
   2.0202    2.8182 7.0431e+06
   2.0202    2.8788 6.9511e+06
   2.0202    2.9394 6.8571e+06
   2.0202    3.0000 6.7610e+06
   2.5253   -3.0000 7.1294e+06
   2.5253   -2.9394 7.2351e+06
   2.5253   -2.8788 7.3386e+06
   2.5253   -2.8182 7.4399e+06
   2.5253   -2.7576 7.5390e+06
   2.5253   -2.6970 7.6358e+06
   2.5253   -2.6364 7.7304e+06
   2.5253   -2.5758 7.8226e+06
   2.5253   -2.5152 7.9124e+06
   2.5253   -2.4545 7.9999e+06
   2.5253   -2.3939 8.0851e+06
   2.5253   -2.3333 8.1680e+06
   2.5253   -2.2727 8.2487e+06
   2.5253   -2.2121 8.3271e+06
   2.5253   -2.1515 8.4032e+06
   2.5253   -2.0909 8.4769e+06
   2.5253   -2.0303 8.5484e+06
   2.5253   -1.9697 8.6176e+06
   2.5253   -1.9091 8.6845e+06
   2.5253   -1.8485 8.7492e+06
   2.5253   -1.7879 8.8117e+06
   2.5253   -1.7273 8.8719e+06
   2.5253   -1.6667 8.9299e+06
   2.5253   -1.6061 8.9858e+06
   2.5253   -1.5455 9.0394e+06
   2.5253   -1.4848 9.0908e+06
   2.5253   -1.4242 9.1401e+06
   2.5253   -1.3636 9.1872e+06
   2.5253   -1.3030 9.2322e+06
   2.5253   -1.2424 9.2750e+06
   2.5253   -1.1818 9.3158e+06
   2.5253   -1.1212 9.3543e+06
   2.5253   -1.0606 9.3908e+06
   2.5253   -1.0000 9.4252e+06
   2.5253   -0.9394 9.4575e+06
   2.5253   -0.8788 9.4877e+06
   2.5253   -0.8182 9.5159e+06
   2.5253   -0.7576 9.5419e+06
   2.5253   -0.6970 9.5660e+06
   2.5253   -0.6364 9.5880e+06
   2.5253   -0.5758 9.6081e+06
   2.5253   -0.5152 9.6261e+06
   2.5253   -0.4545 9.6421e+06
   2.5253   -0.3939 9.6562e+06
   2.5253   -0.3333 9.6682e+06
   2.5253   -0.2727 9.6782e+06
   2.5253   -0.2121 9.6863e+06
   2.5253   -0.1515 9.6923e+06
   2.5253   -0.0909 9.6964e+06
   2.5253   -0.0303 9.6985e+06
   2.5253    0.0303 9.6985e+06
   2.5253    0.0909 9.6964e+06
   2.5253    0.1515 9.6923e+06
   2.5253    0.2121 9.6863e+06
   2.5253    0.2727 9.6782e+06
   2.5253    0.3333 9.6682e+06
   2.5253    0.3939 9.6562e+06
   2.5253    0.4545 9.6421e+06
   2.5253    0.5152 9.6261e+06
   2.5253    0.5758 9.6081e+06
   2.5253    0.6364 9.5880e+06
   2.5253    0.6970 9.5660e+06
   2.5253    0.7576 9.5419e+06
   2.5253    0.8182 9.5159e+06
   2.5253    0.8788 9.4877e+06
   2.5253    0.9394 9.4575e+06
   2.5253    1.0000 9.4252e+06
   2.5253    1.0606 9.3908e+06
   2.5253    1.1212 9.3543e+06
   2.5253    1.1818 9.3158e+06
   2.5253    1.2424 9.2750e+06
   2.5253    1.3030 9.2322e+06
   2.5253    1.3636 9.1872e+06
   2.5253    1.4242 9.1401e+06
   2.5253    1.4848 9.0908e+06
   2.5253    1.5455 9.0394e+06
   2.5253    1.6061 8.9858e+06
   2.5253    1.6667 8.9299e+06
   2.5253    1.7273 8.8719e+06
   2.5253    1.7879 8.8117e+06
   2.5253    1.8485 8.7492e+06
   2.5253    1.9091 8.6845e+06
   2.5253    1.9697 8.6176e+06
   2.5253    2.0303 8.5484e+06
   2.5253    2.0909 8.4769e+06
   2.5253    2.1515 8.4032e+06
   2.5253    2.2121 8.3271e+06
   2.5253    2.2727 8.2487e+06
   2.5253    2.3333 8.1680e+06
   2.5253    2.3939 8.0851e+06
   2.5253    2.4545 7.9999e+06
   2.5253    2.5152 7.9124e+06
   2.5253    2.5758 7.8226e+06
   2.5253    2.6364 7.7304e+06
   2.5253    2.6970 7.6358e+06
   2.5253    2.7576 7.5390e+06
   2.5253    2.8182 7.4399e+06
   2.5253    2.8788 7.3386e+06
   2.5253    2.9394 7.2351e+06
   2.5253    3.0000 7.1294e+06
   3.0303   -3.0000 7.0954e+06
   3.0303   -2.9394 7.2057e+06
   3.0303   -2.8788 7.3138e+06
   3.0303   -2.8182 7.4198e+06
   3.0303   -2.7576 7.5234e+06
   3.0303   -2.6970 7.6247e+06
   3.0303   -2.6364 7.7238e+06
   3.0303   -2.5758 7.8204e+06
   3.0303   -2.5152 7.9147e+06
   3.0303   -2.4545 8.0066e+06
   3.0303   -2.3939 8.0962e+06
   3.0303   -2.3333 8.1834e+06
   3.0303   -2.2727 8.2684e+06
   3.0303   -2.2121 8.3510e+06
   3.0303   -2.1515 8.4312e+06
   3.0303   -2.0909 8.5092e+06
   3.0303   -2.0303 8.5847e+06
   3.0303   -1.9697 8.6579e+06
   3.0303   -1.9091 8.7287e+06
   3.0303   -1.8485 8.7972e+06
   3.0303   -1.7879 8.8634e+06
   3.0303   -1.7273 8.9272e+06
   3.0303   -1.6667 8.9888e+06
   3.0303   -1.6061 9.0480e+06
   3.0303   -1.5455 9.1049e+06
   3.0303   -1.4848 9.1595e+06
   3.0303   -1.4242 9.2117e+06
   3.0303   -1.3636 9.2617e+06
   3.0303   -1.3030 9.3095e+06
   3.0303   -1.2424 9.3549e+06
   3.0303   -1.1818 9.3982e+06
   3.0303   -1.1212 9.4392e+06
   3.0303   -1.0606 9.4780e+06
   3.0303   -1.0000 9.5145e+06
   3.0303   -0.9394 9.5489e+06
   3.0303   -0.8788 9.5811e+06
   3.0303   -0.8182 9.6111e+06
   3.0303   -0.7576 9.6390e+06
   3.0303   -0.6970 9.6647e+06
   3.0303   -0.6364 9.6882e+06
   3.0303   -0.5758 9.7096e+06
   3.0303   -0.5152 9.7288e+06
   3.0303   -0.4545 9.7459e+06
   3.0303   -0.3939 9.7608e+06
   3.0303   -0.3333 9.7736e+06
   3.0303   -0.2727 9.7843e+06
   3.0303   -0.2121 9.7928e+06
   3.0303   -0.1515 9.7992e+06
   3.0303   -0.0909 9.8034e+06
   3.0303   -0.0303 9.8055e+06
   3.0303    0.0303 9.8055e+06
   3.0303    0.0909 9.8034e+06
   3.0303    0.1515 9.7992e+06
   3.0303    0.2121 9.7928e+06
   3.0303    0.2727 9.7843e+06
   3.0303    0.3333 9.7736e+06
   3.0303    0.3939 9.7608e+06
   3.0303    0.4545 9.7459e+06
   3.0303    0.5152 9.7288e+06
   3.0303    0.5758 9.7096e+06
   3.0303    0.6364 9.6882e+06
   3.0303    0.6970 9.6647e+06
   3.0303    0.7576 9.6390e+06
   3.0303    0.8182 9.6111e+06
   3.0303    0.8788 9.5811e+06
   3.0303    0.9394 9.5489e+06
   3.0303    1.0000 9.5145e+06
   3.0303    1.0606 9.4780e+06
   3.0303    1.1212 9.4392e+06
   3.0303    1.1818 9.3982e+06
   3.0303    1.2424 9.3549e+06
   3.0303    1.3030 9.3095e+06
