# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   1.0101    0.8182 2.5581e+08
   1.0101    0.8788 2.5569e+08
   1.0101    0.9394 2.5556e+08
   1.0101    1.0000 2.5542e+08
   1.0101    1.0606 2.5527e+08
   1.0101    1.1212 2.5511e+08
   1.0101    1.1818 2.5493e+08
   1.0101    1.2424 2.5474e+08
   1.0101    1.3030 2.5454e+08
   1.0101    1.3636 2.5432e+08
   1.0101    1.4242 2.5408e+08
   1.0101    1.4848 2.5384e+08
   1.0101    1.5455 2.5357e+08
   1.0101    1.6061 2.5329e+08
   1.0101    1.6667 2.5300e+08
   1.0101    1.7273 2.5268e+08
   1.0101    1.7879 2.5235e+08
   1.0101    1.8485 2.5200e+08
   1.0101    1.9091 2.5162e+08
   1.0101    1.9697 2.5123e+08
   1.0101    2.0303 2.5081e+08
   1.0101    2.0909 2.5037e+08
   1.0101    2.1515 2.4991e+08
   1.0101    2.2121 2.4942e+08
   1.0101    2.2727 2.4890e+08
   1.0101    2.3333 2.4835e+08
   1.0101    2.3939 2.4777e+08
   1.0101    2.4545 2.4717e+08
   1.0101    2.5152 2.4653e+08
   1.0101    2.5758 2.4586e+08
   1.0101    2.6364 2.4515e+08
   1.0101    2.6970 2.4441e+08
   1.0101    2.7576 2.4362e+08
   1.0101    2.8182 2.4280e+08
   1.0101    2.8788 2.4193e+08
   1.0101    2.9394 2.4102e+08
   1.0101    3.0000 2.4007e+08
   1.5152   -3.0000 2.5002e+08
   1.5152   -2.9394 2.5177e+08
   1.5152   -2.8788 2.5346e+08
   1.5152   -2.8182 2.5510e+08
   1.5152   -2.7576 2.5668e+08
   1.5152   -2.6970 2.5820e+08
   1.5152   -2.6364 2.5968e+08
   1.5152   -2.5758 2.6110e+08
   1.5152   -2.5152 2.6247e+08
   1.5152   -2.4545 2.6380e+08
   1.5152   -2.3939 2.6507e+08
   1.5152   -2.3333 2.6630e+08
   1.5152   -2.2727 2.6749e+08
   1.5152   -2.2121 2.6863e+08
   1.5152   -2.1515 2.6973e+08
   1.5152   -2.0909 2.7079e+08
   1.5152   -2.0303 2.7180e+08
   1.5152   -1.9697 2.7278e+08
   1.5152   -1.9091 2.7371e+08
   1.5152   -1.8485 2.7461e+08
   1.5152   -1.7879 2.7547e+08
   1.5152   -1.7273 2.7630e+08
   1.5152   -1.6667 2.7709e+08
   1.5152   -1.6061 2.7784e+08
   1.5152   -1.5455 2.7857e+08
   1.5152   -1.4848 2.7925e+08
   1.5152   -1.4242 2.7991e+08
   1.5152   -1.3636 2.8053e+08
   1.5152   -1.3030 2.8113e+08
   1.5152   -1.2424 2.8169e+08
   1.5152   -1.1818 2.8222e+08
   1.5152   -1.1212 2.8272e+08
   1.5152   -1.0606 2.8320e+08
