mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
0.6,1199988,13337,True,7202.444054433496,6.06919582017641e-07,4.125838244395303e-08,3.788803046184816e-06,False,False,77827.32107134254,2172.558530569836,0.0016698735357612684,83889.9994885604,2174.055503539282,0.0015497166090982484,11182.56771929932,289.4582746989,0.01216715619759056,
0.62,1199988,13306,True,6778.262189446646,5.891260798196984e-07,4.07935037203002e-08,3.6123216337980407e-06,False,False,77962.16851721922,2172.1807733505175,0.0017777903247325837,84081.35645330606,2153.3524906288553,0.0015651067773960463,10812.88174861205,280.7924411723553,0.013682655967053262,
0.64,1199988,13363,True,6521.063710778412,5.680438836850595e-07,3.992621496850137e-08,3.5045759738880038e-06,False,False,75294.89861633886,2128.6839564342727,0.002407745473613413,85532.92826417765,2179.9726261162727,0.0013190810350542296,11279.817149329374,290.834245177004,0.01591087899444635,
0.66,1199988,13244,True,5784.743676761913,5.462233911935431e-07,3.95471415935379e-08,3.3817534332270492e-06,False,False,79900.87918672049,2217.7079634023926,0.0018140789910068306,84319.47698749468,2137.0386362545673,0.0015202062503930718,10760.513102645025,271.83616478889024,0.01625515519501934,
0.68,1199988,13169,True,5801.240443075833,5.407699913950929e-07,3.892393129060896e-08,3.2446526330939114e-06,False,False,77967.74836633439,2209.6104153408214,0.002049810098385226,83206.74439617651,2107.4022516139794,0.00149211618245708,10700.086894447051,270.6633175203265,0.014277055771300798,
0.7,1199988,13347,True,5434.356913566423,5.285884127738124e-07,3.835645143190938e-08,3.143857525759831e-06,False,False,78529.63488249714,2216.4882159856734,0.0020324999612444626,85417.37263435766,2154.242201217665,0.0015931619401407845,11050.861388573037,272.15111429137113,0.018057452048585897,
0.72,1199988,13156,True,4985.1625055344575,5.08837523491691e-07,3.8105774624689854e-08,3.0334886293235018e-06,False,False,75775.39621944493,2128.1720307006713,0.001754907527766705,83843.59341997917,2093.6413408377716,0.0016600363740996028,12016.748747911417,309.71382838117916,0.01378680996644258,
0.74,1199988,13369,True,5012.345937038408,4.893273559295849e-07,3.7048680084350526e-08,2.929733432592559e-06,False,False,84042.68856854193,2337.5929547615756,0.0015910371433897118,89383.09894782292,2223.907595124771,0.0013642318669516065,14706.787153466792,379.2401794187733,0.008313623086186613,
0.76,1199988,13367,True,4552.514781716454,4.841964251725865e-07,3.711435398851459e-08,2.848223895406796e-06,False,False,79545.26932325601,2224.871385818903,0.001546550166898307,84275.77078300981,2087.2278276727866,0.0015796672773414288,11096.986284828194,287.7131899582324,0.015770953044502125,
0.78,1199988,13158,True,4276.857561821772,4.6624287934815784e-07,3.676367079971724e-08,2.7509889624863803e-06,False,False,80318.45097560374,2266.918548488257,0.0015801651251026987,85774.69384915242,2118.535896838892,0.0014696812875518105,11719.389954630871,307.52567232855586,0.012198219601528419,
0.8,1199988,13193,True,4207.258325549168,4.5574930226537113e-07,3.6236950263830507e-08,2.648928199889261e-06,False,False,79466.22866117289,2259.626663915198,0.0018146441074545748,85832.875075454,2088.784746601791,0.001376737083921735,11041.965406627642,287.35863256093876,0.013379561569000305,
0.82,1199988,13311,True,4142.319814764962,4.479111842242273e-07,3.5766798283074044e-08,2.5755119172816665e-06,False,False,82324.95885502102,2325.2636026194855,0.0017606414354599245,88611.6289949739,2159.9575117026748,0.0014129606845449622,11501.898156371002,305.0077682157327,0.017239441034853958,
0.84,1199988,13130,True,3776.4159429916335,4.3975573705901613e-07,3.5285427066059175e-08,2.4734608192931475e-06,False,False,80405.38352800114,2281.336403653351,0.0014972943560297056,86035.09927429774,2095.023149802018,0.0015603949784455731,11758.909585821993,310.4797628747995,0.011821530692388213,
0.86,1199988,13182,True,3539.5348795472946,4.225218967246415e-07,3.516657931358843e-08,2.410820037657546e-06,False,False,79899.75676637108,2307.9541444133038,0.0014644195590831808,86151.70555744725,2113.9344241222725,0.0015144934691817943,11929.446548052234,321.87459535111276,0.012207638546108549,
0.88,1199988,13067,True,3455.3681770428225,4.127898249138246e-07,3.484877695726142e-08,2.315941141590326e-06,False,False,80795.85817026133,2326.1686715944356,0.001558990518658856,84565.02340443374,2063.2575830202254,0.001575072079887206,11542.75022964904,312.841625175367,0.011704691969929338,
0.9,1199988,13192,True,3112.8078570393104,3.984265378869384e-07,3.4299574382531943e-08,2.2222022866969155e-06,False,False,76768.64032860943,2328.706503189923,0.0017088717582257682,83119.22827577085,2089.008055957378,0.0016471638204169556,9882.712337219235,283.2920874712506,0.01718961515997978,
0.92,1199988,13173,True,2379.6564787104144,3.50632016177078e-07,3.2799752719928774e-08,1.9464605473714e-06,False,False,70844.24958725998,2341.6118052066545,0.0016213388010731002,75356.1129456428,2116.6921588916257,0.0015478232284948574,11260.046717574502,362.04926000556446,0.012237884754626959,
0.94,1199988,12899,True,797.3878549680699,2.3285691859588289e-07,2.823296361875703e-08,1.1427503155320535e-06,False,False,45564.14725671351,2185.3349205008153,0.001722885265569067,48953.453372942015,2006.5249814430254,0.0016670259641500995,8007.2888695043375,353.8365273666773,0.014209532218293118,
0.96,0,0,False,,,,,False,False,,,,,,,,,,unsupported eta-prime resonance
0.98,1199988,13114,True,364.8337827885044,1.6068561715031862e-07,2.4049009148678924e-08,7.227433247414468e-07,False,False,46000.87947771238,2249.973355022822,0.0015419375224976985,46717.63028605142,2035.6587449252906,0.0018219397450138773,9166.46183831544,376.9857086259557,0.01382067650847005,
1.0,1199988,13054,True,645.3943819053326,2.1180580660840743e-07,2.7055481247018036e-08,1.0038196808609447e-06,False,False,52036.713790721886,2320.8014165739305,0.0016293796954574614,53294.1688496074,2000.3360995736543,0.001848251213645311,10388.971046221222,411.35587790392,0.01190045268292778,
1.05,1199988,12860,True,660.3048540711104,2.152902106730405e-07,2.7367250002363043e-08,1.0212935248486877e-06,False,False,55845.83783828949,2300.726804925575,0.0015691511653978714,57370.008119252794,1984.649194988628,0.0016936510157517129,9301.107493253889,352.52758399787433,0.0162369304378878,
1.1,1199988,13047,True,413.5702965663213,1.7065658063647872e-07,2.4790475899081373e-08,7.747871451447715e-07,False,False,51677.37935681111,2330.542720176964,0.0015126596225038395,54081.03706142204,2081.4916556291623,0.0016837946003540561,9492.021657494652,397.90840238996384,0.011382816606155493,
1.15,1199988,12806,True,179.82531480201183,1.2016547328793595e-07,2.1877591148716785e-08,4.892082215003068e-07,False,False,43675.205303806164,2241.051651626923,0.0017749552173101186,45546.67649013398,2021.4285096260996,0.0018249605749077586,8341.481548244312,380.7575545281253,0.011925035702488783,
1.18,1199988,12857,True,136.3340723740414,1.0291161087223166e-07,1.9951893530550228e-08,3.899432227458175e-07,False,False,44038.04563500094,2302.5554967880344,0.001501157965650037,43721.44918976515,1979.4256050021029,0.0017593023839491688,8389.2816883455,399.0369872931181,0.012159989215818488,
1.19,1199988,12837,True,118.99409789885458,9.652527455857203e-08,1.9786145681604484e-08,3.68146475131934e-07,False,False,44035.753225692984,2285.405826257435,0.0015331841963528716,43881.9551822555,1992.2487541682663,0.0017360706784672376,8400.696739025489,413.6717734196952,0.011965076364473548,
1.2,1199988,12815,True,105.2269588438324,9.295108260037015e-08,1.9581714971242455e-08,3.4440833408471525e-07,False,False,40723.96643473689,2189.7541676052533,0.0016536107664119957,41075.90542126026,1915.0924325766985,0.0017846846548510318,8732.331569248434,449.10125603657406,0.011283303652677792,
1.21,1199988,12791,True,100.86702598661743,8.968544088735662e-08,1.9010169253906378e-08,3.272903497396838e-07,False,False,40742.18885877664,2260.093581954765,0.0016025807033152675,41256.74171129227,1982.6421137296009,0.001824999643197126,8807.39986214035,470.7615627330999,0.010237753701614512,
1.22,1199988,12883,True,87.09543921525487,8.581572908102431e-08,1.8900812776024625e-08,3.050649768784365e-07,False,False,39978.73002125093,2306.782513230024,0.0016429911974541744,38684.33900421722,1957.7758049833405,0.0017338086604001646,7771.423135581654,426.0613288615798,0.011433496010032,
1.23,1199988,12674,True,86.66858558813259,8.3479386535225e-08,1.8400598588073453e-08,2.9226144365426126e-07,False,False,38507.314267931375,2303.676080583543,0.0014391114698863905,37746.966430486944,1971.6535036453351,0.001787704988385317,7623.860072369616,422.31365390381825,0.010851281886751867,
1.24,1199988,12810,True,76.110991014293,7.873621943388462e-08,1.8056418102049653e-08,2.7199819732746164e-07,False,False,36207.16667769076,2251.403733165869,0.0016610938218464162,36320.54547228179,1925.995557098052,0.0019767715106823757,7900.4278737205295,470.6747139901611,0.012157598942345953,
1.25,1199988,12832,True,70.52247077524378,7.567184652774989e-08,1.7804413766099827e-08,2.637565205599676e-07,False,False,34840.97485620586,2229.795167166186,0.0019637660131071283,34888.27720367499,1950.7296178122442,0.001643935464440474,6416.971244539929,399.85150030426723,0.013825980082404436,
1.26,1199988,12745,True,68.93745287616589,7.282901558297093e-08,1.7305245134757053e-08,2.4963037469344727e-07,False,False,33998.63096149853,2314.416064396159,0.001587046737012057,33576.880269577145,2005.943848486401,0.0017423319687048112,6185.98252642031,417.2624205499615,0.010277707240575902,
1.27,1199988,12885,True,61.63150581092054,7.062935356885816e-08,1.732052746561096e-08,2.3511156786604308e-07,False,False,32076.697684089704,2314.231769635443,0.001808393341023677,31251.677525209052,1960.682152472719,0.0020152780795088623,5548.773521376971,391.06463439922015,0.015012315100869648,
1.28,1199988,12833,True,58.85560611627582,6.813922970812434e-08,1.694519494900282e-08,2.2690376243634591e-07,False,False,29832.695398415133,2309.3164883871837,0.001531495471095079,30379.63176316591,2036.7481958638925,0.0019750671034477543,5381.077517820685,407.96175178095996,0.013327390687227565,
1.29,1199988,12716,True,54.769001061479564,6.60272574188863e-08,1.678584193043494e-08,2.1852494224310537e-07,False,False,27500.776643011162,2218.242421332078,0.0016572109575350659,28674.83601003041,1981.3064027173168,0.0019700796072707797,5459.535322109695,428.6062705306999,0.012865590200014848,
1.3,1199988,12855,True,51.44036030590271,6.446159874929373e-08,1.653096697210635e-08,2.0613223298823755e-07,False,False,26084.904180604986,2271.6678550777,0.0017967906992444325,25814.057675907592,1988.4873011559096,0.0018380598964617097,4935.04795891716,408.42417707696876,0.014620141495785144,
1.31,1199988,12555,True,46.762509253252944,6.25210841687672e-08,1.6547198763168056e-08,1.9264275615054542e-07,False,False,23861.6589248149,2143.4448575928477,0.0018258584624764194,23087.073406981024,1834.9610735032109,0.0020050059634278148,5139.544933262058,496.9529122945994,0.013380679023449785,
