variation,axis,mass_GeV,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,central_has_sensitivity,central_peak_N,central_peak_invf,central_invf_min,central_invf_max,central_invf_min_open,central_invf_max_open,restores_sensitivity,removes_sensitivity,topology_differs,comparison_role,included_in_pointwise_halo
decay_2310_structural,decay_structure,1.2,True,105.2269588438324,9.295108260037017e-08,1.9581714971242455e-08,3.4440833408471525e-07,False,False,True,14.229087220265985,3.4643507847830793e-08,1.339896697893348e-08,8.244130160100383e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.21,True,100.86702598661743,8.968544088735663e-08,1.9010169253906375e-08,3.272903497396838e-07,False,False,True,11.635424932628927,3.095286620272771e-08,1.2778678227554036e-08,6.886513874332371e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.22,True,87.09543921525487,8.581572908102431e-08,1.8900812776024625e-08,3.050649768784365e-07,False,False,True,8.319285995285746,2.7058546953203123e-08,1.2673676567762109e-08,5.4266418552940175e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.23,True,86.66858558813259,8.3479386535225e-08,1.8400598588073453e-08,2.922614436542613e-07,False,False,True,6.676466865710397,2.3449903817549898e-08,1.2072792230390657e-08,4.3428489015104924e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.24,True,76.110991014293,7.873621943388463e-08,1.8056418102049653e-08,2.7199819732746164e-07,False,False,True,4.454963190411465,1.9369604267263178e-08,1.229410675146883e-08,2.9770499047182394e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.25,True,70.52247077524378,7.56718465277499e-08,1.7804413766099827e-08,2.637565205599676e-07,False,False,True,3.074751913115745,1.6062213276022746e-08,1.4391422166494571e-08,1.790352162369094e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.26,True,68.93745287616589,7.282901558297094e-08,1.7305245134757053e-08,2.496303746934473e-07,False,False,False,2.124189039566134,1.3033242773965784e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.27,True,61.63150581092054,7.062935356885817e-08,1.7320527465610962e-08,2.351115678660431e-07,False,False,False,1.3206450637903295,1.0499168074988974e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.28,True,58.85560611627582,6.813922970812434e-08,1.6945194949002823e-08,2.2690376243634594e-07,False,False,False,0.8756949672248721,8.435171582389023e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.29,True,54.76900106147957,6.60272574188863e-08,1.6785841930434942e-08,2.1852494224310537e-07,False,False,False,0.6272932703938514,7.180732266149432e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.3,True,51.44036030590271,6.446159874929373e-08,1.6530966972106352e-08,2.0613223298823758e-07,False,False,False,0.5692191417441647,6.873334278926723e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.31,True,46.762509253252944,6.25210841687672e-08,1.6547198763168056e-08,1.9264275615054544e-07,False,False,False,0.6141224376431385,7.310193039358052e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.32,True,44.64036422147928,6.150199499179205e-08,1.6230543697061232e-08,1.905950255955972e-07,False,False,False,0.7972989419744272,8.358327529273235e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.33,True,42.814614240835354,5.95749798353295e-08,1.610750178090679e-08,1.7941075794538958e-07,False,False,False,1.0477737130967564,9.500265828995122e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.34,True,39.41454443730959,5.6437111277238215e-08,1.5883802395561705e-08,1.703192908089447e-07,False,False,False,1.322493845065942,1.0449535095422649e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.35,True,37.41922567801767,5.473393809690911e-08,1.5537982019039687e-08,1.631766901939309e-07,False,False,False,1.6423278650906905,1.1644697623632154e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.36,True,35.994131626524485,5.4241901336293794e-08,1.5434185196167772e-08,1.590871303999805e-07,False,False,False,1.997789508825273,1.2963094748889364e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.37,True,32.926248007562954,5.172110966809876e-08,1.5334324822932773e-08,1.5295683324904705e-07,False,False,False,2.314075743182934,1.3831338270197965e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.38,True,31.85675615787061,5.1247352645415106e-08,1.524419333519763e-08,1.478394065423336e-07,False,False,False,2.6342661176130435,1.4985296435831092e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.39,True,30.210351916117812,4.973233743895962e-08,1.5103661776916128e-08,1.4024333353483366e-07,False,False,False,2.9650443548777408,1.5771838036839582e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.4,True,28.407842456403127,4.8130947963921875e-08,1.4823964688517674e-08,1.3307632626553208e-07,False,False,True,3.1881855117558406,1.633080661083283e-08,1.3739582716043418e-08,1.9328199431483285e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.41,True,26.44416482036271,4.668902541553993e-08,1.4787220889141472e-08,1.2796481420672978e-07,False,False,True,3.1616730539727107,1.6306348462227576e-08,1.3896745494418038e-08,1.9086163819244826e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.42,True,25.12089793313038,4.626079873007706e-08,1.474778128530979e-08,1.2236479495368066e-07,False,False,False,2.7067245559874196,1.5378310347854604e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
