variation,axis,mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,exclusion_reason,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction
central,central,2.55,599994,4697,True,21.47606664147069,4.6296892266272595e-08,1.5874391977156474e-08,1.1062299028725409e-07,False,False,,,,,,,,,,
central,central,2.6,599994,4755,True,14.96249243937537,3.8484361094874256e-08,1.5023075388843434e-08,8.7601033713121e-08,False,False,,,,,,,,,,
central,central,2.65,599994,4618,True,11.776697297458472,3.6184987596427426e-08,1.4922427675722443e-08,7.644150855545659e-08,False,False,,,,,,,,,,
central,central,2.7,599994,4691,True,10.725717600747496,3.402299765678064e-08,1.4659107432856764e-08,6.954806494634219e-08,False,False,,,,,,,,,,
central,central,2.75,599994,4660,True,9.672584849910574,3.199018284775061e-08,1.4464115276781184e-08,6.428164620975497e-08,False,False,,,,,,,,,,
central,central,2.8,599994,4476,True,8.33334235232569,3.0078825180430956e-08,1.462193723542997e-08,5.8012559386100064e-08,False,False,,,,,,,,,,
central,central,2.85,599994,4661,True,7.802180948683306,2.8281667802300298e-08,1.4346386945566625e-08,5.3052253069495085e-08,False,False,,,,,,,,,,
central,central,2.9,599994,4447,True,6.473543773897103,2.8281667802300298e-08,1.4943783917092533e-08,4.98897386826689e-08,False,False,,,,,,,,,,
central,central,2.95,599994,4510,True,6.240178833386504,2.6591887445126912e-08,1.4721494025600492e-08,4.735847937878344e-08,False,False,,,,,,,,,,
central,central,3.0,599994,4399,True,5.155522059205623,2.6591887445126912e-08,1.5432249549558876e-08,4.209199505783474e-08,False,False,,,,,,,,,,
central,central,3.1,599994,4540,True,4.340577149283323,2.5003068519063217e-08,1.5905606633197968e-08,3.583781480548897e-08,False,False,,,,,,,,,,
central,central,3.2,599994,4476,True,3.821507019708657,2.3509178754572845e-08,1.652423187023853e-08,3.1633371178648386e-08,False,False,,,,,,,,,,
central,central,3.3,599994,4384,False,2.9353983930925343,2.2104546299710197e-08,,,False,False,,,,,,,,,,
