"mass_GeV","width_coefficient_001","width_coefficient_002","width_coefficient_003","width_coefficient_004","width_coefficient_005","width_coefficient_006","width_coefficient_007","width_coefficient_008","width_coefficient_009","width_coefficient_010","width_coefficient_011","width_coefficient_012","width_coefficient_013","width_coefficient_014","width_coefficient_015","width_coefficient_016","width_coefficient_017","width_coefficient_018","width_coefficient_019","width_coefficient_020","width_coefficient_021","width_coefficient_022","width_coefficient_023","width_coefficient_024","width_coefficient_025","width_coefficient_026","width_coefficient_027","width_coefficient_028","width_coefficient_029","width_coefficient_030","width_coefficient_031","width_coefficient_032","width_coefficient_033","width_coefficient_034","width_coefficient_035","width_coefficient_036","width_coefficient_037","width_coefficient_038","width_coefficient_039","width_coefficient_040"
1.335,1.4811497994469657e-8,0.0000019024605861351877,0.0006450552775917233,0,0,0,0,0,0,0,0,0.0038921707013619775,0.0004918312001846071,0.0000011412554640374647,0.000025104163193250606,0,0,0,0.000014302487943712837,0,3.8053012646731826e-7,0,0.0037917704099689354,0.0037917704099689354,0.001971154831647061,0.0017944579838668423,0,0.00414651454313457,0.00006464061175879619,0.16475989921656847,0.32050469041971286,0.0000511456292252975,0.000038274323041055955,0,4.7517353077244466e-8,0.00004259658846949657,0.0000716034854329762,0.000646972549675853,0.5054534963084224,0.5061004688580982
1.34,1.4866971800797923e-8,0.0000019058127221140314,0.0006475323952788418,0,0,0,0,0,0,0,0,0.0034713598167485566,0.0003941982729367663,0.0000012972551301064523,0.00002709729290545976,0,0,0,0.000014881622518883248,0,4.043856630435157e-7,0,0.0033750002044480674,0.0033750002044480674,0.001716739368744108,0.0015444079795629358,0,0.003675705765048393,0.00006531589608618641,0.14597258014374084,0.28405297052617134,0.000055192564405155136,0.00003970680626762326,0,5.229380646016995e-8,0.00003828886219651637,0.00006486693487209438,0.0006494530749727567,0.44788506619570057,0.44853451927067334
1.3450000000000002,1.4922445607010914e-8,0.0000019092762758795917,0.0006500092802499785,0,0,0,0,0,0,0,0,0.0031088603057425356,0.00031804725625738886,0.0000014675377082512102,0.00002923550697972334,0,0,0,0.000015448926468288723,0,4.2956909880065203e-7,0,0.0030179223801944373,0.0030179223801944373,0.0014921402220304124,0.0013298185711049725,0,0.003273514179715948,0.000065978227343148,0.130497723941206,0.25384001243044013,0.00005953322940825784,0.00004114399544839196,0,5.748923393127044e-8,0.000034418969952083687,0.000058785595504281595,0.0006519334789714651,0.40020246071403137,0.40085439419300284
1.35,1.4977919413109904e-8,0.0000019123271487704668,0.0006524859351553547,0,0,0,0,0,0,0,0,0.002796312469653577,0.0002619185489456981,0.0000016513502059546714,0.00003152346341957045,0,0,0,0.000016024346353886666,0,4.549566364876193e-7,0,0.002710425075367546,0.002710425075367546,0.0012997584002104987,0.0011422042629044284,0,0.0029260544733910763,0.00006665266115288888,0.117393015635492,0.22857408390811904,0.0000641769596268557,0.00004257932313601207,0,6.313032586924833e-8,0.000030974578089667104,0.00005324259798391164,0.0006544132402235383,0.3601215412163825,0.36077595445660604
1.355,1.5033393219096155e-8,0.0000019156370610760458,0.0006549623626048619,0,0,0,0,0,0,0,0,0.0025241684160180137,0.0002270397862012332,0.0000018508977849260494,0.00003397795660871204,0,0,0,0.00001659636602433933,0,4.812758664394562e-7,0,0.0024420477835037273,0.0024420477835037273,0.001129080948823295,0.0009788593731332755,0,0.0026261173956872493,0.00006734048392665624,0.10643520408202083,0.2073251521823232,0.00006915779462612795,0.0000440145997566033,0,6.923326391821669e-8,0.000027908472998394193,0.0000482795698574045,0.0006568930330591571,0.3264393944019281,0.32709628743498725
1.36,1.5088867024970916e-8,0.0000019195824818050795,0.0006574385651688295,0,0,0,0,0,0,0,0,0.002287505055682711,0.0002153825433567931,0.000002067558612855339,0.00003661513264870165,0,0,0,0.000017184684517895742,0,5.101559324523592e-7,0,0.0022088517779157847,0.0022088517779157847,0.0009788474331668291,0.0008367746441348243,0,0.0023642224122670443,0.00006803159980204198,0.0972167865486476,0.18946810993185267,0.00007450843482976127,0.00004545518466311917,0,7.588114906554446e-8,0.000025213578236660045,0.0000438132533067838,0.0006593732365176595,0.2980988075886394,0.29875818082515704
1.365,1.5144340830735407e-8,0.0000019242382536701008,0.0006599145453787768,0,0,0,0,0,0,0,0,0.0020813980511623564,0.00023050769911283652,0.0000023016591784519,0.000039449516828556664,0,0,0,0.000017785261847985318,0,5.423125455731891e-7,0,0.002006997659854693,0.002006997659854693,0.0008464271215797192,0.0007125886139762442,0,0.0021372401040157364,0.00006874650492127602,0.0894473207901975,0.17431371789892952,0.00008025826591493591,0.00004690528747228894,0,8.31072272207103e-8,0.00002279022291294368,0.00003984382698094626,0.0006618539279732777,0.2741019015645135,0.27476375549248677
1.37,1.5199814636390843e-8,0.0000019291302306368676,0.0006623903057281473,0,0,0,0,0,0,0,0,0.001901083671790296,0.000279861723906761,0.000002550846622264503,0.000042489505851319944,0,0,0,0.00001840117228037236,0,5.785760448805854e-7,0,0.0018313922791743699,0.0018313922791743699,0.0007310124854128275,0.0006049471505666848,0,0.0019434747865942714,0.00006946956600039854,0.08275225427750864,0.16132962160615913,0.00008642419463969994,0.00004834428900411283,0,9.094732200466296e-8,0.000020646175225506236,0.00003627889966028798,0.0006643346357734206,0.2535303144329382,0.25419464906871164
1.375,1.5255288441938404e-8,0.0000019324366569862347,0.0006648658486730243,0,0,0,0,0,0,0,0,0.0017449447010509137,0.00037494082545157524,0.0000028194493132323065,0.00004572302489318423,0,0,0,0.00001900973735289133,0,6.188720158818916e-7,0,0.0016807880452008673,0.0016807880452008673,0.0006325927049972498,0.0005166992777767001,0,0.0017768971601590995,0.0000701730752120214,0.07699010926709472,0.15006292589631828,0.00009298149512139874,0.0000496993908165743,0,9.936822421346244e-8,0.000018742575464888098,0.00003302718746288535,0.0006668135406184524,0.23579358009912746,0.2364603936397459
1.3800000000000001,1.531076224737927e-8,0.000001935204236837612,0.0006673411766328339,0,0,0,0,0,0,0,0,0.0016178331923300585,0.0005340460757041928,0.000003103259475980842,0.0000491762096896575,0,0,0,0.000019659699618838905,0,6.641796820196277e-7,0,0.0015619768369947468,0.0015619768369947468,0.0005544651014849759,0.0004510897471369237,0,0.001647739935589599,0.00007085785459518793,0.0719461417350736,0.1403203768136446,0.00009998316159246842,0.00005109246500489091,0,1.0852367281250602e-7,0.000017042069521658426,0.000030164333012396794,0.0006692916916319189,0.22053749803081935,0.22120678972245125
