"mass_GeV","channel_001","channel_002","channel_003","channel_004","channel_005","channel_006","channel_007","channel_008","channel_009","channel_010","channel_011","channel_012","channel_013","channel_014","channel_015","channel_016","channel_017","channel_018","channel_019","channel_020","channel_021","channel_022","channel_023","channel_024","channel_025","channel_026","channel_027","channel_028","channel_029","channel_030","channel_031","channel_032"
4.9399999999999995,4.771857891964481e-8,0.0021024870816823303,0.4170892818445285,3.999020221956107e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15027445137829382,0.4262538449527467,0.004267185116114285,0,0,0,0,0,0,0,0,0,0,0,0
4.945,4.76595560746659e-8,0.002099890368945194,0.4170175334700418,3.972311567761778e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15030376075980367,0.4263039952364452,0.004262086291433042,0,0,0,0,0,0,0,0,0,0,0,0
4.949999999999999,4.7600886161749015e-8,0.002097309185355218,0.4169459630462961,3.945817089260794e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15033363795968482,0.4263533535579839,0.0042570180363808545,0,0,0,0,0,0,0,0,0,0,0,0
4.955,4.75425659515907e-8,0.0020947433888030575,0.4168745699397476,3.919534723833191e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15036407371712088,0.42640193023525297,0.004251980070399806,0,0,0,0,0,0,0,0,0,0,0,0
4.96,4.7484592259776945e-8,0.002092192839155198,0.41680335355950515,3.893462433256112e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1503950588412605,0.42644973546761716,0.004246972116851689,0,0,0,0,0,0,0,0,0,0,0,0
4.965,4.7426961946035114e-8,0.002089657398221037,0.41673231335659294,3.8675982033438565e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15042658420977148,0.4264967793381987,0.004241993902952612,0,0,0,0,0,0,0,0,0,0,0,0
4.97,4.7369675297219446e-8,0.002087137078809334,0.41666147858625596,3.841940318032741e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1504585800828524,0.4265431022850003,0.004237045462370251,0,0,0,0,0,0,0,0,0,0,0,0
4.975,4.731272640235533e-8,0.002084631620647339,0.41659082371923667,3.8164865752436e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1504910885532627,0.42658868852714243,0.004232126274334888,0,0,0,0,0,0,0,0,0,0,0,0
4.9799999999999995,4.725611118222518e-8,0.002082140844168129,0.4165203389370446,3.791234944538034e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1505241198448489,0.4266335381969703,0.004227235981802125,0,0,0,0,0,0,0,0,0,0,0,0
4.984999999999999,4.719982636831481e-8,0.0020796646055228486,0.41645002121025315,3.766183481397555e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15055767048647198,0.42667765822439657,0.004222374300146634,0,0,0,0,0,0,0,0,0,0,0,0
4.99,4.714386873353979e-8,0.002077202762686133,0.41637986754444595,3.741330264207682e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15059173707851362,0.4267210554273549,0.004217540948357688,0,0,0,0,0,0,0,0,0,0,0,0
4.995,4.7088235091558574e-8,0.002074755175425874,0.4163098749794915,3.7166733939241785e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15062631629172896,0.4267637365137607,0.00421273564897911,0,0,0,0,0,0,0,0,0,0,0,0
5,4.7032922296099514e-8,0.002072321705273594,0.4162400405888373,3.6922109937453097e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1506614048661233,0.4268057080834314,0.004207958128050459,0,0,0,0,0,0,0,0,0,0,0,0
5.005,4.697792724030134e-8,0.002069902215495422,0.4161703614788174,3.6679412087899604e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15069699960985308,0.4268469766299624,0.0042032081150493675,0,0,0,0,0,0,0,0,0,0,0,0
