"mass_GeV","width_coefficient_001","width_coefficient_002","width_coefficient_003","width_coefficient_004","width_coefficient_005","width_coefficient_006","width_coefficient_007","width_coefficient_008","width_coefficient_009","width_coefficient_010","width_coefficient_011","width_coefficient_012","width_coefficient_013","width_coefficient_014","width_coefficient_015","width_coefficient_016","width_coefficient_017","width_coefficient_018","width_coefficient_019","width_coefficient_020","width_coefficient_021","width_coefficient_022","width_coefficient_023","width_coefficient_024","width_coefficient_025","width_coefficient_026","width_coefficient_027","width_coefficient_028","width_coefficient_029","width_coefficient_030","width_coefficient_031","width_coefficient_032","width_coefficient_033","width_coefficient_034","width_coefficient_035","width_coefficient_036","width_coefficient_037","width_coefficient_038","width_coefficient_039","width_coefficient_040"
0.065,2.8842957254329905e-9,3.110749002632832e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915403215459319e-9,0,2.915403215459319e-9
0.066,2.928679931377536e-9,3.249426305313343e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.961174194430669e-9,0,2.961174194430669e-9
0.067,2.973063982869434e-9,3.391913905952288e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.006983121928957e-9,0,3.006983121928957e-9
0.068,3.0174478867242805e-9,3.538250107434791e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0528303877986283e-9,0,3.0528303877986283e-9
0.069,3.0618316493624543e-9,3.6884733761529185e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0987163831239835e-9,0,3.0987163831239835e-9
0.06999999999999999,3.106215276837364e-9,3.8426224848599286e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1446415016859633e-9,0,3.1446415016859633e-9
0.071,3.150598774861291e-9,4.00073667274556e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.190606141588747e-9,0,3.190606141588747e-9
0.072,3.1949821488290885e-9,4.162855824737325e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2366107070764618e-9,0,3.2366107070764618e-9
0.073,3.239365403839931e-9,4.32902067230055e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2826556105629365e-9,0,3.2826556105629365e-9
0.074,3.2837485447172957e-9,4.4992730183165204e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.328741274900461e-9,0,3.328741274900461e-9
0.075,3.328131576027354e-9,4.673655988973557e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3748681359170898e-9,0,3.3748681359170898e-9
0.076,3.3725145020958918e-9,4.852214316015609e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.421036645256048e-9,0,3.421036645256048e-9
0.077,3.4168973270239344e-9,5.034994653169596e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4672472735556305e-9,0,3.4672472735556305e-9
0.078,3.461280054702154e-9,5.222045931124953e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5135005140134033e-9,0,3.5135005140134033e-9
0.079,3.5056626888241837e-9,5.413419756084559e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5597968863850293e-9,0,3.5597968863850293e-9
0.08,3.5500452328989428e-9,5.6091708576583675e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6061369414755266e-9,0,3.6061369414755266e-9
0.081,3.5944276902620283e-9,5.809357592754327e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6525212661895716e-9,0,3.6525212661895716e-9
0.082,3.6388100640863037e-9,6.014042513157391e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6989504892178774e-9,0,3.6989504892178774e-9
0.08299999999999999,3.683192357391688e-9,6.223293005709433e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.745425287448782e-9,0,3.745425287448782e-9
0.08399999999999999,3.727574573054273e-9,6.4371820154465e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7919463932087376e-9,0,3.7919463932087376e-9
0.08499999999999999,3.771956713814777e-9,6.655788863761905e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8385146024523966e-9,0,3.8385146024523966e-9
0.086,3.816338782286424e-9,6.879200175699926e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885130784043423e-9,0,3.885130784043423e-9
0.087,3.860720780962269e-9,7.10751093291497e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.931795890291419e-9,0,3.931795890291419e-9
0.088,3.905102712222026e-9,7.340825671742387e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97851096893945e-9,0,3.97851096893945e-9
0.089,3.9494845783384394e-9,7.579259849326303e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025277176831703e-9,0,4.025277176831703e-9
