variation_index,variation_name,variation_axis,variation_direction,run_tag,bottom_grid_tag,charm_grid_tag,u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,1.949068334274019e-07,,False,True,71535142.06537718,0.0041504047578504,True,0.5,Ue,762957,6052,6052,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,1.021077532373807e-07,,False,True,14453328.017735338,0.0010234114021054,True,0.7,Ue,762957,6196,6196,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,5.73870146576764e-08,0.0242751844482315,False,False,3533824.76521974,0.0002523539170434,True,0.9,Ue,762957,5850,5850,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,4.2991570734240936e-08,0.0113214973880842,False,False,1754094.6269485715,0.0001335451562929,True,1.0,Ue,762957,5824,5824,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,2.7248561416811712e-08,0.0035125658487926,False,False,624723.443237342,4.824108704165374e-05,True,1.2,Ue,762957,5723,5723,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,2.0309368172193098e-08,0.0012622849445953,False,False,224295.21952306453,1.9791668678535575e-05,True,1.4,Ue,762957,5710,5710,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,1.8096753218973327e-08,0.0005181931929003,False,False,67691.3847990866,1.0473708979594508e-05,True,1.6,Ue,762957,5582,5582,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,2.064059963951268e-08,0.0002257361515676,False,False,14076.399878189708,5.542664520663107e-06,True,1.8,Ue,499999,4026,4026,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,2.4795421615026236e-08,0.0001074023451382,False,False,2571.4982577130927,2.9331662783900485e-06,True,2.0,Ue,399999,3135,3135,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg81825753,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,2.6175353914929812e-08,5.471936324869151e-05,False,False,867.1549838970172,1.762914118095948e-06,True,2.2,Ue,399999,3043,3043,50,exact,1000,
