flavor,mass_GeV,has_sensitivity,u2_min_central,u2_min_open,u2_min_n_members_expected,u2_min_n_members_sensitive,u2_min_n_members_finite,u2_min_n_members_open,u2_min_topology_changed,u2_min_band_lo,u2_min_band_hi,u2_min_scale_up_dex,u2_min_scale_dn_dex,u2_min_pdf_sigma_dex,u2_min_mass_dev_dex,u2_max_central,u2_max_open,u2_max_n_members_expected,u2_max_n_members_sensitive,u2_max_n_members_finite,u2_max_n_members_open,u2_max_topology_changed,u2_max_band_lo,u2_max_band_hi,u2_max_scale_up_dex,u2_max_scale_dn_dex,u2_max_pdf_sigma_dex,u2_max_mass_dev_dex
Ue,2.2,True,2.4182192926665803e-08,False,110,110,110,0,False,1.9476201882106904e-08,3.161672828500427e-08,0.10942780133557051,0.08517583740788126,0.010277788578106795,0.03839048971145065,5.3249088666100705e-05,False,110,110,110,0,False,5.292308624489841e-05,5.475654390286756e-05,0.01182885557668989,0.00021698317987262072,0.002277863359030493,0.0013701227976996577
Ue,2.4,True,2.5588483697092577e-08,False,110,110,110,0,False,2.131035474837094e-08,3.363494211268243e-08,0.11222199004326949,0.06932567163319714,0.013115392032903041,0.0365356750303798,2.815260852972028e-05,False,110,110,110,0,False,2.7542515729656736e-05,2.862813511009682e-05,0.0,0.006133413048366343,0.0037955782717532314,0.006205701059272428
Ue,2.6,True,3.1653463033654417e-08,False,110,110,110,0,False,2.3920546685802466e-08,4.2442614355022796e-08,0.11714076242268323,0.11088200696335271,0.013066220780455244,0.048303296995821476,1.5010431517323596e-05,False,110,110,110,0,False,1.4840186753300268e-05,1.5190718980472042e-05,0.0028595606159127485,0.0024148559188157392,0.0030527234715929845,0.00306424468540456
Ue,2.8,True,4.021741839775729e-08,False,110,110,110,0,False,3.177340310892894e-08,5.5966615687386104e-08,0.12872607513479117,0.08030880613629154,0.013178577262913584,0.06206800082838093,8.277802004639734e-06,False,110,110,110,0,False,8.156981072989877e-06,8.471265387289907e-06,0.007904986517353052,0.0016119157796365968,0.002869819654242911,0.005471881920835919
Ue,3.0,True,6.877546003818727e-08,False,110,110,110,0,False,5.5046067600676075e-08,9.052558385375795e-08,0.11686058446980496,0.09363312398237955,0.013237344918322838,0.020245845900165982,4.625501708507161e-06,False,110,110,110,0,False,4.575186225080033e-06,4.669736329876749e-06,0.002111725021705979,0.0031522387850371203,0.0033316431438485594,0.001235599889868766
Ue,3.2,True,1.005949051815289e-07,False,110,110,110,0,False,8.003223163906307e-08,1.404876268322775e-07,0.1408556829241414,0.09305911890786156,0.017861708068792708,0.02972618589928988,2.625257617599798e-06,False,110,110,110,0,False,2.5685315710896893e-06,2.675638056475338e-06,0.0027570629934468016,0.005427032892044714,0.003038626943336308,0.007163629793358162
Ue,3.4,True,1.4382381979475588e-07,False,110,110,110,0,False,1.0225871697670478e-07,1.8468494221617532e-07,0.09885113181969185,0.14113851329117644,0.0273051455351849,0.0357349696845084,1.3819061406431975e-06,False,110,110,110,0,False,1.3467144047158274e-06,1.4177188183522042e-06,0.00723320149184925,0.0073729660383765605,0.004083595827482579,0.007380497921799289
Ue,3.6,True,2.636955742109933e-07,False,110,110,110,0,False,1.9350774146617522e-07,3.254887500296527e-07,0.08246455495608984,0.12847160057262208,0.034096614995537185,0.019925798027527364,7.258370469707493e-07,False,110,110,110,0,False,6.548175423480165e-07,7.688720177176764e-07,0.0,0.037067868856327735,0.012286360060534057,0.02178971789541606
Umu,0.305,True,1.0895300384538084e-08,False,110,110,110,0,False,1.070149597935234e-08,1.1198130287305112e-08,0.009024406584094535,0.0006613173311311726,0.0037566193326387053,0.006797651243634727,,True,110,110,0,110,False,,,,,,
Umu,0.5,True,1.498059733277851e-07,False,110,110,110,0,False,1.0062317542667509e-07,2.788332322095725e-07,0.26618628976069925,0.16710889506559123,0.026866254644503318,0.03497734813844242,,True,110,110,0,110,False,,,,,,
Umu,0.7,True,7.397657103131411e-08,False,110,110,110,0,False,5.284916762210927e-08,1.4794669957399266e-07,0.2976883478786343,0.13907928679798776,0.025149975337288435,0.03683475450265534,,True,110,110,0,110,False,,,,,,
Umu,0.9,True,4.303733579143944e-08,False,110,110,110,0,False,3.0584394311425015e-08,8.132417987948342e-08,0.2748459456319994,0.14547824002579368,0.026633093138716334,0.011538880041763636,0.0268317923989739,False,110,110,110,0,False,0.025204091596654862,0.028581929693124446,0.004387894132362735,0.0022081886048535004,0.021585204305739698,0.01636707375985059
Umu,1.0,True,3.026863014354257e-08,False,110,110,110,0,False,2.185137628031805e-08,5.953926286949583e-08,0.2874267453182888,0.12773260441330425,0.02936282051271545,0.05337050257692516,0.0117614611070452,False,110,110,110,0,False,0.011538042873412169,0.012260484280510093,0.016283599521302206,0.0029764600971071697,0.007479351734634128,0.002138775986270412
Umu,1.2,True,1.8787950958155203e-08,False,110,110,110,0,False,1.3627627236007013e-08,3.6726543672993814e-08,0.287467786087209,0.13170803155151045,0.02690981673390606,0.037117609462848415,0.0035784117262507,False,110,110,110,0,False,0.0034462610100771743,0.0037351843773648285,0.008927679457281013,0.0,0.016300158604029828,0.0011706518697763837
Umu,1.4,True,1.4231673747998354e-08,False,110,110,110,0,False,9.677304203710266e-09,2.7695840331252914e-08,0.28670069894085426,0.16322191927211627,0.027081850045996284,0.02611436003687492,0.0012902798665161,False,110,110,110,0,False,0.0012616291282699175,0.0013197059008234974,0.0015162487737869768,0.0012235865623608788,0.008293460281391593,0.00498267156666997
Umu,1.6,True,1.3402596091138214e-08,False,110,110,110,0,False,9.176959941655736e-09,2.5463655942410857e-08,0.2755788696097161,0.15908888195856807,0.023681447028956325,0.03445152556364025,0.0005253363875671,False,110,110,110,0,False,0.0004947805691938412,0.0006829883291471639,0.11097173230599511,0.0012390556178676349,0.011464941873064552,0.023330506562540577
Umu,1.8,True,1.781973955737387e-08,False,110,110,110,0,False,1.2682162478295209e-08,2.779888939687482e-08,0.18952196456369386,0.1429634641580977,0.016789674377187456,0.03312430645440102,0.0002304476263883,False,110,110,110,0,False,0.00021477002531722423,0.0002479644226346049,0.008722286092638143,0.00014412028549415368,0.006053175387659314,0.029993513284735235
Umu,2.0,True,2.36717491140754e-08,False,110,110,110,0,False,1.942771522208348e-08,3.1945717259488013e-08,0.12741823661836094,0.08155425575658182,0.01054108983307667,0.024513427771513108,0.0001090149160679,False,110,110,110,0,False,0.00010785208529006177,0.00011114785803344591,0.007008848912056553,0.0,0.0029784833665940113,0.0035804761146351893
