flavor,mass_GeV,boundary,u2,channel,N,frac
Ue,2.4,peak_u2,1.059560179277617e-06,Bmeson,185.19758298005823,0.7587479573178632
Ue,2.4,peak_u2,1.059560179277617e-06,Bbaryon,49.055577836968304,0.20097897002713594
Ue,2.4,peak_u2,1.059560179277617e-06,Bc,4.508580228859923,0.01847149397959219
Ue,2.4,peak_u2,1.059560179277617e-06,WZ,5.321397753883888,0.02180157867540867
Ue,2.4,u2_max,2.7787000140735974e-05,Kmeson,0.0,0.0
Ue,2.4,u2_max,2.7787000140735974e-05,Dmeson,0.0,0.0
Ue,2.4,u2_max,2.7787000140735974e-05,tau,0.0,0.0
Ue,2.4,u2_max,2.7787000140735974e-05,induced_tau,0.0,0.0
Ue,2.4,u2_max,2.7787000140735974e-05,Bmeson,0.055704230530040345,0.019567639762004468
Ue,2.4,u2_max,2.7787000140735974e-05,Bbaryon,0.027376095059749,0.009616604719648224
Ue,2.4,u2_max,2.7787000140735974e-05,Bc,0.0075163706846878625,0.0026403314878633228
Ue,2.4,u2_max,2.7787000140735974e-05,WZ,2.756155963093477,0.968175424030484
Ue,2.8,u2_min,4.6890278882738464e-08,Kmeson,0.0,0.0
Ue,2.8,u2_min,4.6890278882738464e-08,Dmeson,0.0,0.0
Ue,2.8,u2_min,4.6890278882738464e-08,tau,0.0,0.0
Ue,2.8,u2_min,4.6890278882738464e-08,induced_tau,0.0,0.0
Ue,2.8,u2_min,4.6890278882738464e-08,Bmeson,2.2218810598131524,0.7525336094583757
Ue,2.8,u2_min,4.6890278882738464e-08,Bbaryon,0.4668920669349275,0.1581326645754698
Ue,2.8,u2_min,4.6890278882738464e-08,Bc,0.2195766077306408,0.07436886706350548
Ue,2.8,u2_min,4.6890278882738464e-08,WZ,0.04418425455110686,0.014964858902649026
Ue,2.8,peak_u2,4.937047852839004e-07,Kmeson,0.0,0.0
Ue,2.8,peak_u2,4.937047852839004e-07,Dmeson,0.0,0.0
Ue,2.8,peak_u2,4.937047852839004e-07,tau,0.0,0.0
