mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
0.62,1199988,13306,True,6781.351072262644,5.888349359356341e-07,4.077935566955411e-08,3.6121009141184633e-06,False,False,77479.95118714432,2164.7543104003666,0.0018208231056610165,84141.09666433258,2152.6913247619077,0.001507254077661038,10768.819189834765,278.3400949779658,0.014437640700717135,
0.64,1199988,13363,True,6526.370792628847,5.68392004353248e-07,3.9947877354965566e-08,3.503581174904398e-06,False,False,74869.90308293008,2135.316319523919,0.0024927981553723756,85352.71240289352,2165.7030292443405,0.001491187089720829,11204.05887687244,290.3389855893792,0.01491143023418109,
0.66,1199988,13244,True,5789.446832304698,5.456866362715199e-07,3.958876409571255e-08,3.3788458589103498e-06,False,False,80464.41879750803,2235.952142826173,0.001814746417482569,84536.85613233333,2141.352770359727,0.001544898166219184,10940.988491402633,283.6789341890105,0.017160049170729243,
0.68,1199988,13169,True,5790.494523027536,5.402849825834857e-07,3.891796745607492e-08,3.2458607217041273e-06,False,False,77873.5402623252,2202.3435394691433,0.001866823732287536,83145.54172423828,2106.122591163025,0.0014325370865735057,10523.892754526774,261.95158549377817,0.014892674318726946,
0.7,1199988,13347,True,5456.238061373479,5.29469053681749e-07,3.837542225174383e-08,3.141284419139751e-06,False,False,78726.81664367752,2210.6438501581306,0.0019858936214212633,85471.04351205948,2147.9113044718742,0.0016275325628365234,11153.551094896597,280.12831006093006,0.018178364344741762,
0.72,1199988,13156,True,4983.7348714104555,5.086195735926499e-07,3.8117669262111574e-08,3.034566746317533e-06,False,False,75894.56949455543,2127.9970887561467,0.0017421380350379177,83907.78738016613,2094.283186285264,0.0015483706679198371,11940.316148134922,308.07588701005017,0.014135696420970819,
0.74,1199988,13369,True,5007.83319429178,4.895268218634394e-07,3.708791706309068e-08,2.9306396777993147e-06,False,False,83523.97854004973,2327.2361157705072,0.0018684063918811384,89241.95474378765,2221.1164975224483,0.0015024038520419858,14852.871727898828,381.8855685932068,0.008780592535009067,
0.76,1199988,13367,True,4535.162196454028,4.830493088332219e-07,3.709513477595774e-08,2.8506185821338724e-06,False,False,79812.54811186598,2231.7949216512457,0.001591818617795037,84498.05745626435,2109.7372748430607,0.0014542893145895503,11092.519770994644,281.9768512876593,0.014859151703087773,
0.78,1199988,13158,True,4289.263424174844,4.662177465306458e-07,3.67376218111267e-08,2.7540059950212915e-06,False,False,80464.83506822902,2262.5572561490526,0.001534535871091031,85853.26268687617,2111.490187388777,0.0015171900557035196,11594.18634912591,299.84879096856247,0.014126556657995682,
0.8,1199988,13193,True,4203.746996448752,4.5579013888942907e-07,3.6249420135845805e-08,2.6492868051288736e-06,False,False,79507.02053360177,2258.806069797223,0.0018177442149327112,85789.85175575517,2086.6292970399986,0.0014767673236796767,11148.780627954558,286.6281177056769,0.015663464561386745,
0.82,1199988,13311,True,4137.206043935386,4.4792073598630054e-07,3.579098128948123e-08,2.5766622108617376e-06,False,False,82692.71232745348,2343.355665132764,0.0014985167458242148,88525.9725666419,2158.145773741012,0.0014811286567968857,11425.13230851435,298.59186332117287,0.014569366271102774,
0.84,1199988,13130,True,3762.3721600301164,4.392999225011429e-07,3.538098730211977e-08,2.4737514858871933e-06,False,False,80705.92084987836,2303.7141889947693,0.0017390553451807338,86358.47142831421,2118.162271525039,0.0014976088526585352,11731.276687585181,306.57602090049943,0.013140773366701088,
0.86,1199988,13182,True,3529.645804835306,4.2257526759545627e-07,3.521021067406257e-08,2.4079163780393622e-06,False,False,80143.03357584625,2313.2228150703927,0.001635199868939398,86243.4431214198,2115.3914179062754,0.0015508620841512488,11837.258075667778,320.6023979371317,0.013735593765503804,
