event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
15,6000113,49.8951,-1.86735,-2.56785,165.293,15,33.035729840129335,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
16,6000113,99.542,-2.28043,1.69338,491.895,15,98.31094075194001,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
17,6000113,59.1699,-0.576335,2.33317,69.272,15,13.844815433717333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18,6000113,59.7467,1.84861,0.11656,194.429,15,38.858898544321335,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
19,6000113,57.8293,0.338793,-0.0491756,61.18,15,12.227535053626669,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
20,6000113,76.348,-0.979971,1.44725,116.038,15,23.191544827602662,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
21,6000113,87.8108,2.84717,-1.19171,759.431,15,151.78112411426534,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
22,6000113,11.098,3.49379,1.89741,182.79,15,36.532708931879995,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
23,6000113,34.9489,3.26231,-1.53042,456.924,15,91.32157938612801,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
24,6000113,31.8293,-1.42145,2.65914,69.7778,15,13.945905450554934,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
25,6000113,90.9031,1.77025,-0.294455,274.645,15,54.890999751606664,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
26,6000113,30.2767,-0.264267,1.20568,31.3401,15,6.263683741977201,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
27,6000113,141.958,0.428871,2.8408,155.214,15,31.021324384008008,False,25.562425938427,26.744697123810543,1.1822711853835415,0.0,2,1,0.016607931845869617,0.0,0.016607931845869617,0.0,0.016607931845869575
28,6000113,55.0063,0.0152359,-2.02719,55.0127,15,10.994928369477735,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
29,6000113,108.487,1.29107,-2.10722,212.181,15,42.406842353932,True,23.84869147372033,26.31820863104474,2.469517157324411,0.032236977007740225,2,1,0.0322369770077402,0.0,0.0322369770077402,0.032236977007740225,0.0
30,6000113,58.4594,-0.711233,2.9386,73.8792,15,14.7656179753824,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
31,6000113,67.1086,-0.945379,-1.69913,99.3987,15,19.8659870633364,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
32,6000113,24.9699,-4.02494,2.86914,699.096,15,139.72247214531203,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
33,6000113,59.5303,0.683248,2.6949,73.9745,15,14.784664789547334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
34,6000113,21.6574,0.826333,2.04331,29.4819,15,5.8923008450068,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
35,6000113,33.9307,-0.106207,-2.0811,34.1223,15,6.8197387930756,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
36,6000113,26.354,0.321526,-1.17794,27.728,15,5.541763516949333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
37,6000113,61.4356,-0.968466,0.710044,92.5701,15,18.5012118775372,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
38,6000113,28.6174,2.82391,1.55524,241.845,15,48.33553800334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
39,6000113,34.9052,-2.72718,1.67141,267.987,15,53.56032096136401,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
40,6000113,50.2119,-0.290667,1.09339,52.348,15,10.462357060922667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
41,6000113,47.2534,0.602604,-1.88013,56.0958,15,11.2113985103176,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
42,6000113,56.5256,-2.5875,3.10505,377.922,15,75.53211020818401,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
43,6000113,31.7674,-3.00493,1.67045,321.397,15,64.23493108255067,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
44,6000113,4.70313,-6.04688,-3.08074,994.229,15,198.70823714992133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
45,6000113,59.529,-1.31548,1.53331,118.905,15,23.76454814566,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
46,6000113,14.095,2.81122,1.30108,117.625,15,23.508725248166666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
47,6000113,44.4069,-0.378612,-2.0874,47.628,15,9.519010126416001,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
48,6000113,12.5051,-2.91176,0.00772335,115.319,15,23.047844309401338,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
49,6000113,94.6095,0.958913,0.151564,141.544,15,28.289215783434667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
50,6000113,58.4884,-3.55927,-1.61871,1028.41,15,205.5397078211867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
51,6000113,41.5955,1.06433,1.74139,67.4649,15,13.4836454664828,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
52,6000113,26.7761,2.72769,-1.37925,205.679,15,41.10734197932133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
53,6000113,71.5391,-1.11258,0.681626,120.576,15,24.098516943872,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
54,6000113,33.1551,-0.609431,-2.49658,39.505,15,7.895534035526668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
55,6000113,62.8334,-1.16192,-0.90201,110.239,15,22.032547184974668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
56,6000113,60.8744,-0.855043,1.925,84.5162,15,16.891546225879733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
57,6000113,60.4411,0.278482,3.03931,62.7999,15,12.5512909221028,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
58,6000113,62.9488,-0.362809,0.691063,67.1374,15,13.418190779819465,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
59,6000113,32.0198,-1.69175,2.18196,89.866,15,17.960766020418667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
60,6000113,64.8296,-0.268485,-2.97014,67.1803,15,13.426764844118267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
61,6000113,54.1257,-2.60705,0.473694,368.941,15,73.73715283131867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
62,6000113,75.2094,0.841226,1.09102,103.428,15,20.671289564016,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
63,6000113,57.8387,-0.255346,-0.958725,59.7346,15,11.938655041097867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
64,6000113,50.582,-0.0326357,-1.07236,50.6089,15,10.114777685117467,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
65,6000113,168.987,0.179422,1.57718,171.714,15,34.319041422008,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
66,6000113,129.188,0.20628,0.730268,131.946,15,26.370943775512,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
