event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,event_decay_prob,particle1_decay_prob,particle2_decay_prob
71,9900015,1.59137,7.54348,-2.3896,1502.56,79,57.0197665433519,False,,,,0.0,1,0,0.0,0.0,0.0
72,9900015,56.8492,0.93528,1.02544,83.5798,79,3.171720719132709,False,,,,0.0,1,0,0.0,0.0,0.0
73,9900015,2.50977,-4.60674,-0.96759,125.698,79,4.770039542491646,False,,,,0.0,1,0,0.0,0.0,0.0
74,-9900015,19.0987,4.1084,1.29588,581.226,79,22.05660394854532,False,,,,0.0,1,0,0.0,0.0,0.0
75,9900015,7.57262,-3.36925,-3.07896,110.148,79,4.179941729592911,False,,,,0.0,1,0,0.0,0.0,0.0
76,-9900015,19.1262,2.4418,0.347734,110.748,79,4.20271077703595,False,,,,0.0,1,0,0.0,0.0,0.0
77,9900015,6.03355,4.12672,2.54754,187.012,79,7.096808500695696,False,,,,0.0,1,0,0.0,0.0,0.0
78,-9900015,13.9457,-1.80885,-2.91499,43.7007,79,1.6583721859899498,False,,,,0.0,1,0,0.0,0.0,0.0
79,9900015,3.86393,-3.6459,-1.93087,74.0778,79,2.8111349044597973,False,,,,0.0,1,0,0.0,0.0,0.0
80,9900015,7.35516,3.27905,-3.08326,97.7798,79,3.7105881752846073,False,,,,0.0,1,0,0.0,0.0,0.0
81,-9900015,4.75635,-4.4758,-0.671828,208.984,79,7.930611018059748,False,,,,0.0,1,0,0.0,0.0,0.0
82,9900015,15.9246,5.09198,1.99303,1295.61,79,49.16634259612404,False,,,,0.0,1,0,0.0,0.0,0.0
83,9900015,1.89239,5.18779,0.0274375,169.443,79,6.43009284315114,False,,,,0.0,1,0,0.0,0.0,0.0
84,9900015,4.50475,-3.09046,0.185655,49.6256,79,1.8832127346487086,False,,,,0.0,1,0,0.0,0.0,0.0
85,9900015,2.66235,-5.31813,-0.417801,271.57,79,10.305650356843039,False,,,,0.0,1,0,0.0,0.0,0.0
86,9900015,15.7595,1.56681,-2.27347,39.3993,79,1.4951408848708099,False,,,,0.0,1,0,0.0,0.0,0.0
87,9900015,4.63615,-2.30111,2.96334,23.3786,79,0.8871807542530126,False,,,,0.0,1,0,0.0,0.0,0.0
88,9900015,15.3253,-4.6964,-2.64211,839.525,79,31.858640924360756,False,,,,0.0,1,0,0.0,0.0,0.0
89,9900015,37.4474,-3.79489,-0.553723,833.127,79,31.615846981793165,False,,,,0.0,1,0,0.0,0.0,0.0
90,9900015,17.892,-3.09851,-0.86723,198.691,79,7.54000800917443,False,,,,0.0,1,0,0.0,0.0,0.0
91,-9900015,22.6888,5.31804,2.60621,2314.12,79,87.81718011480505,False,,,,0.0,1,0,0.0,0.0,0.0
92,9900015,3.04967,-7.10843,-2.10396,1863.7,79,70.72445619931645,False,,,,0.0,2,0,0.0,0.0,0.0
92,9900015,3.58832,-6.93936,-2.02686,1851.77,79,70.27173163932405,False,,,,0.0,2,0,0.0,0.0,0.0
93,-9900015,6.74019,4.31405,-1.75648,251.934,79,9.560495330857213,False,,,,0.0,1,0,0.0,0.0,0.0
94,-9900015,2.56367,4.8242,2.37397,159.583,79,6.0559214968372155,False,,,,0.0,1,0,0.0,0.0,0.0
95,-9900015,7.41201,4.9655,2.2985,531.394,79,20.165558661576206,False,,,,0.0,1,0,0.0,0.0,0.0
96,9900015,9.12079,-6.60293,1.7668,3362.16,79,127.58863425180759,False,,,,0.0,1,0,0.0,0.0,0.0
97,9900015,8.11936,3.93604,1.28632,207.997,79,7.89315593501595,False,,,,0.0,1,0,0.0,0.0,0.0
98,-9900015,3.4492,-6.52706,1.27573,1178.57,79,44.724860408235436,False,,,,0.0,1,0,0.0,0.0,0.0
99,-9900015,42.0411,-0.827683,-1.92439,57.2825,79,2.1737799335930377,False,,,,0.0,1,0,0.0,0.0,0.0
100,9900015,4.59969,5.13154,-2.53395,389.328,79,14.774379504838478,False,,,,0.0,1,0,0.0,0.0,0.0
101,9900015,41.7921,-4.91199,-1.78143,2840.14,79,107.77880400811645,False,,,,0.0,1,0,0.0,0.0,0.0
102,-9900015,8.77463,-2.6034,0.300475,59.5956,79,2.2615584063271896,False,,,,0.0,1,0,0.0,0.0,0.0
103,-9900015,16.9644,4.85513,-0.597584,1089.16,79,41.33189285509874,False,,,,0.0,1,0,0.0,0.0,0.0
104,-9900015,5.19755,-3.34989,0.827469,74.1549,79,2.8140607270562272,False,,,,0.0,1,0,0.0,0.0,0.0
105,-9900015,3.62121,-5.97081,-1.71917,709.441,79,26.922159645060507,False,,,,0.0,1,0,0.0,0.0,0.0
106,9900015,5.39022,6.79578,-1.19016,2409.61,79,91.44087401536456,False,,,,0.0,1,0,0.0,0.0,0.0
107,9900015,4.74791,-3.6684,-3.05245,93.0936,79,3.5327543250719997,False,,,,0.0,1,0,0.0,0.0,0.0
108,-9900015,8.70513,-1.62136,-0.967525,22.8841,79,0.868415264318709,False,,,,0.0,2,0,0.0,0.0,0.0
108,-9900015,8.76045,-1.61328,-0.978529,22.8581,79,0.8674286055961772,False,,,,0.0,2,0,0.0,0.0,0.0
109,9900015,6.93232,-3.28617,0.261945,92.8152,79,3.5221894870584305,False,,,,0.0,2,0,0.0,0.0,0.0
109,9900015,6.89472,-3.28943,0.256535,92.6125,79,3.5144973438639235,False,,,,0.0,2,0,0.0,0.0,0.0
110,-9900015,1.24255,-5.99946,2.30309,250.507,79,9.50634294635519,False,,,,0.0,1,0,0.0,0.0,0.0
111,9900015,2.41586,-5.08664,-2.05545,195.504,79,7.419066418839495,False,,,,0.0,1,0,0.0,0.0,0.0
112,-9900015,7.96943,-5.43753,1.94771,915.996,79,34.76059396938835,False,,,,0.0,1,0,0.0,0.0,0.0
113,9900015,38.3196,4.08259,-0.293137,1136.47,79,43.12723224598228,False,,,,0.0,1,0,0.0,0.0,0.0
114,-9900015,9.57479,3.99438,-1.67486,260.007,79,9.866852864203292,False,,,,0.0,1,0,0.0,0.0,0.0
115,-9900015,13.7589,-2.61409,-1.62469,94.4414,79,3.583901195311544,False,,,,0.0,1,0,0.0,0.0,0.0
116,-9900015,11.0489,6.09977,-2.49016,2462.57,79,93.45062193633672,False,,,,0.0,1,0,0.0,0.0,0.0
117,9900015,18.689,-3.37729,2.99029,274.033,79,10.39911729659671,False,,,,0.0,1,0,0.0,0.0,0.0
118,9900015,7.35811,6.87946,2.8671,3576.43,79,135.7198405778405,False,,,,0.0,1,0,0.0,0.0,0.0
119,9900015,15.1972,-3.67101,-0.115415,298.753,79,11.337202051249873,False,,,,0.0,1,0,0.0,0.0,0.0
120,-9900015,4.43298,2.30963,2.76707,22.5418,79,0.8554255227524556,False,,,,0.0,1,0,0.0,0.0,0.0
121,9900015,45.7633,-2.03287,-0.848902,177.72,79,6.744191852627848,False,,,,0.0,1,0,0.0,0.0,0.0
122,9900015,0.813299,-7.78681,2.40646,979.461,79,37.168989962675695,False,,,,0.0,1,0,0.0,0.0,0.0
123,9900015,14.8386,2.79486,2.09474,121.836,79,4.623482773783292,False,,,,0.0,1,0,0.0,0.0,0.0
124,-9900015,27.5312,-2.62046,-2.84344,190.169,79,7.216611638658481,False,,,,0.0,1,0,0.0,0.0,0.0
125,-9900015,52.4347,-2.61022,-2.75575,358.535,79,13.605834041649368,False,,,,0.0,1,0,0.0,0.0,0.0
126,9900015,8.79451,-2.94103,-2.58028,83.4959,79,3.1685368473319246,False,,,,0.0,1,0,0.0,0.0,0.0
127,9900015,1.15442,6.93091,-1.74964,590.732,79,22.417341556867846,False,,,,0.0,1,0,0.0,0.0,0.0
128,-9900015,1.6494,-6.15441,-1.99976,388.261,79,14.73388854880228,False,,,,0.0,1,0,0.0,0.0,0.0
129,-9900015,54.9992,-1.23043,-1.80154,102.157,79,3.8766959660640508,False,,,,0.0,2,0,0.0,0.0,0.0
129,-9900015,55.2692,-1.23181,-1.80028,102.778,79,3.9002619301675954,False,,,,0.0,2,0,0.0,0.0,0.0
130,-9900015,22.6774,-4.95333,-0.29698,1606.15,79,60.95084258439242,False,,,,0.0,1,0,0.0,0.0,0.0
131,9900015,4.56517,-2.62115,0.0127243,31.555,79,1.1974621534417724,False,,,,0.0,1,0,0.0,0.0,0.0
132,9900015,57.6911,-4.26456,1.32453,2052.3,79,77.8815267789114,False,,,,0.0,1,0,0.0,0.0,0.0
133,9900015,25.1922,4.72294,-1.32551,1417.16,79,53.778972123959505,False,,,,0.0,1,0,0.0,0.0,0.0
134,9900015,5.4409,-4.35378,-0.16941,211.61,79,8.030263549035443,False,,,,0.0,1,0,0.0,0.0,0.0
135,9900015,4.46098,3.27243,0.264086,58.9143,79,2.23570415295562,False,,,,0.0,1,0,0.0,0.0,0.0
136,9900015,1.57288,5.47363,-0.0977383,187.43,79,7.112670937081013,False,,,,0.0,1,0,0.0,0.0,0.0
137,9900015,11.6283,5.48678,2.96273,1404.01,79,53.2799505008329,False,,,,0.0,1,0,0.0,0.0,0.0
138,9900015,7.0591,5.82079,-0.563068,1190.31,79,45.17037476987088,False,,,,0.0,1,0,0.0,0.0,0.0
139,9900015,26.5621,-4.83802,-1.23706,1676.43,79,63.617857008220255,False,,,,0.0,1,0,0.0,0.0,0.0
140,-9900015,3.56671,5.16113,-2.65579,310.959,79,11.800400373066076,False,,,,0.0,1,0,0.0,0.0,0.0
141,9900015,1.92178,6.89283,-2.7261,946.66,79,35.92424408737722,False,,,,0.0,1,0,0.0,0.0,0.0
142,9900015,47.9543,-3.22574,-0.126552,604.509,79,22.940156834572402,False,,,,0.0,1,0,0.0,0.0,0.0
143,9900015,1.35216,7.66036,-0.920515,1434.99,79,54.45559231714177,False,,,,0.0,1,0,0.0,0.0,0.0
144,-9900015,8.99804,-4.31467,2.64545,336.536,79,12.771006917150379,False,,,,0.0,1,0,0.0,0.0,0.0
145,9900015,16.8413,-3.93833,1.43816,432.42,79,16.40965249219747,False,,,,0.0,1,0,0.0,0.0,0.0
146,-9900015,18.0195,6.06645,1.83667,3884.53,79,147.4117464398405,False,,,,0.0,1,0,0.0,0.0,0.0
147,-9900015,14.572,-3.35861,1.34992,209.721,79,7.958578998002277,False,,,,0.0,1,0,0.0,0.0,0.0
148,-9900015,4.2407,-3.46104,-2.10956,67.5997,79,2.565301294058557,False,,,,0.0,1,0,0.0,0.0,0.0
149,9900015,14.0426,2.26259,3.11197,68.1911,79,2.587743985154912,False,,,,0.0,1,0,0.0,0.0,0.0
150,9900015,9.20118,-3.83578,-1.3552,213.243,79,8.092233306492913,False,,,,0.0,1,0,0.0,0.0,0.0
151,9900015,9.69717,3.4989,-0.790499,160.533,79,6.091972488622024,False,,,,0.0,1,0,0.0,0.0,0.0
152,9900015,24.5878,-4.62279,0.753087,1251.37,79,47.487504831324046,False,,,,0.0,1,0,0.0,0.0,0.0
153,9900015,49.5565,2.57328,-1.18063,326.701,79,12.397784281146581,False,,,,0.0,1,0,0.0,0.0,0.0
154,9900015,5.1851,4.41108,1.64725,213.55,79,8.103883469101268,False,,,,0.0,1,0,0.0,0.0,0.0
155,9900015,18.5645,-5.44008,1.29264,2139.24,79,81.18076175340758,False,,,,0.0,1,0,0.0,0.0,0.0
156,-9900015,113.795,0.855698,0.329953,158.061,79,5.998164013156709,False,,,,0.0,1,0,0.0,0.0,0.0
157,-9900015,44.1061,4.7533,1.81374,2557.62,79,97.05761853543797,False,,,,0.0,1,0,0.0,0.0,0.0
158,9900015,12.3799,6.04671,1.22614,2616.63,79,99.29695435146077,False,,,,0.0,1,0,0.0,0.0,0.0
159,-9900015,25.3675,-3.63195,2.42724,479.61,79,18.20043807359241,False,,,,0.0,1,0,0.0,0.0,0.0
160,9900015,64.1368,3.4293,2.44509,990.514,79,37.588433764988864,False,,,,0.0,1,0,0.0,0.0,0.0
161,-9900015,9.65627,-6.05317,-1.50981,2054.19,79,77.95324927835696,False,,,,0.0,1,0,0.0,0.0,0.0
162,-9900015,8.54419,1.46702,-0.35646,19.5103,79,0.7403849105465065,False,,,,0.0,1,0,0.0,0.0,0.0
163,9900015,7.53248,5.31941,-2.23012,769.321,79,29.194510579875693,False,,,,0.0,1,0,0.0,0.0,0.0
164,9900015,10.1612,-2.33633,2.54557,53.0413,79,2.012833126900684,False,,,,0.0,1,0,0.0,0.0,0.0
165,9900015,15.015,4.22396,-1.14791,512.897,79,19.463626877319747,False,,,,0.0,1,0,0.0,0.0,0.0
166,9900015,7.9783,-1.97126,-1.27444,29.1967,79,1.1079684124669114,False,,,,0.0,1,0,0.0,0.0,0.0
167,-9900015,2.95409,-5.57984,1.6537,391.467,79,14.855551158972915,False,,,,0.0,1,0,0.0,0.0,0.0
169,-9900015,9.10469,3.64726,3.0935,174.789,79,6.632965055868608,False,,,,0.0,1,0,0.0,0.0,0.0
170,9900015,4.27935,-7.29427,2.69441,3149.28,79,119.51017621901774,False,,,,0.0,1,0,0.0,0.0,0.0
171,9900015,6.36006,-4.97041,2.36694,458.218,79,17.388645635423295,False,,,,0.0,1,0,0.0,0.0,0.0
172,-9900015,12.7363,5.83393,-0.676249,2176.0,79,82.57574539341772,False,,,,0.0,1,0,0.0,0.0,0.0
173,9900015,13.5108,-4.08065,0.445675,399.923,79,15.176442934270128,False,,,,0.0,1,0,0.0,0.0,0.0
174,9900015,4.47728,1.49755,-2.08426,10.5091,79,0.3988036608060507,True,23.65298505588701,25.897839152566103,2.2448540966790915,1.7397897902751476e-26,1,1,0.0,1.7397897902751476e-26,0.0
175,-9900015,5.55597,6.20121,-1.10492,1370.51,79,52.00867868526329,False,,,,0.0,1,0,0.0,0.0,0.0
176,9900015,3.8647,4.58677,-1.11082,189.732,79,7.2000281824374674,False,,,,0.0,1,0,0.0,0.0,0.0
177,9900015,17.8781,3.48911,1.14724,293.089,79,11.122262243387597,False,,,,0.0,1,0,0.0,0.0,0.0
178,-9900015,18.5793,-4.03952,-2.20534,527.809,79,20.02951360310405,False,,,,0.0,1,0,0.0,0.0,0.0
179,9900015,14.0596,5.23197,-1.01948,1315.75,79,49.930623621962035,False,,,,0.0,1,0,0.0,0.0,0.0
180,-9900015,5.98619,-3.97884,1.34999,160.051,79,6.073681353842786,False,,,,0.0,1,0,0.0,0.0,0.0
181,-9900015,11.671,2.13407,1.01702,49.9959,79,1.897265031762304,False,,,,0.0,1,0,0.0,0.0,0.0
182,9900015,13.5544,5.09966,1.74959,1111.27,79,42.17093225337469,False,,,,0.0,1,0,0.0,0.0,0.0
183,9900015,9.23445,5.71331,-0.852158,1398.45,79,53.068957327860765,False,,,,0.0,1,0,0.0,0.0,0.0
184,9900015,41.6055,2.44345,-0.916282,241.302,79,9.157027810166584,False,,,,0.0,1,0,0.0,0.0,0.0
185,9900015,4.41357,-3.88774,0.753342,107.737,79,4.088448107284304,False,,,,0.0,2,0,0.0,0.0,0.0
185,9900015,4.35469,-3.90121,0.747417,107.74,79,4.088561952521519,False,,,,0.0,2,0,0.0,0.0,0.0
186,9900015,37.2504,5.05155,2.18412,2910.57,79,110.45151069380506,False,,,,0.0,1,0,0.0,0.0,0.0
187,9900015,10.4546,-3.53897,-1.13623,180.136,79,6.835875216998482,False,,,,0.0,1,0,0.0,0.0,0.0
188,9900015,4.81772,-4.94306,-0.646956,337.735,79,12.816507063624053,False,,,,0.0,1,0,0.0,0.0,0.0
189,9900015,13.7218,4.98832,-1.98195,1006.47,79,38.19393863332405,False,,,,0.0,1,0,0.0,0.0,0.0
190,9900015,9.46557,2.9885,-2.0016,94.2118,79,3.575188239823342,False,,,,0.0,1,0,0.0,0.0,0.0
191,-9900015,33.6446,2.86816,-1.68821,297.105,79,11.27466306760633,False,,,,0.0,1,0,0.0,0.0,0.0
192,9900015,21.676,-1.11537,-2.89303,36.616,79,1.3895190686237973,False,,,,0.0,1,0,0.0,0.0,0.0
