u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,n_events,n_hits,ctau_sin2th1_m,u2_min_sample_ess,u2_min_event_ess,u2_min_max_event_fraction,peak_u2_sample_ess,peak_u2_event_ess,peak_u2_max_event_fraction,u2_max_sample_ess,u2_max_event_ess,u2_max_max_event_fraction
1.5660697718488766e-11,3.8408282410087644e-09,False,False,108.08826709128817,3.33180909189115e-10,True,2.2,1200000,12062,1.7378740133017183e-09,149869.25947270775,3031.538324299483,0.0007319472015552924,159062.1945966203,2239.0008798106132,0.0011324036538435352,37489.79999650828,597.6663793225152,0.007003323306014348
1.546773862331249e-11,3.1714031318573635e-09,False,False,91.33985829707265,2.9990376625514286e-10,True,2.3,1200000,12046,1.5719715477279966e-09,146926.72945718723,2985.1555135374333,0.0007968168030075181,156912.03656069023,2216.2626671285807,0.0011151314440804973,39219.0642251083,630.8395206379074,0.007231848826767852
1.5114333304666333e-11,2.5950745316161293e-09,False,False,76.32665138163088,2.662544554348096e-10,True,2.4,1200000,11897,1.420959389063035e-09,144450.95581891102,2975.5496260317173,0.0008676938389633001,156241.93750275034,2201.220003416175,0.0011007281788081261,45827.34728215111,719.0810324133163,0.007324353667421411
1.4914933667824534e-11,2.0826597045487553e-09,False,False,62.05333460717895,2.301338205572783e-10,True,2.5,1200000,11859,1.2795034239229327e-09,143554.9934283157,2965.937694558915,0.0009104614771338936,155114.95185531408,2203.2130984708683,0.0011381542376762447,45598.47447628596,696.89212796772,0.007727948994985123
1.459246541021194e-11,1.698153788219881e-09,False,False,51.447241952405626,2.0544633979619733e-10,True,2.6,1200000,11906,1.1341913978297604e-09,142035.85237387143,2979.5018917521274,0.0007690867668560308,150984.70277386883,2138.6960569929524,0.001152627785579424,48501.856214087,731.0344649892672,0.005987586287518878
1.437411764966286e-11,1.3426369495439818e-09,False,False,40.45766095934487,1.7300863093677447e-10,True,2.7,1200000,11819,1.004687039982744e-09,142526.26311437387,2935.3085154463906,0.000727187745191335,151107.2271730157,2159.9696949880854,0.0011641832090644583,50959.806174341094,748.7456924237657,0.006784711062590828
1.4497424125566501e-11,1.137141283569034e-09,False,False,33.27445582864718,1.55225731775349e-10,True,2.8,1200000,11619,9.097582548650183e-10,139750.58118673172,2860.4338297876407,0.000799243941662834,146768.19784668094,2103.028983888913,0.001195670849781004,49758.644512743835,728.7904321623731,0.0059867019408602245
1.4286071652113903e-11,9.012875081685734e-10,False,False,28.919079263903203,1.3955375906535014e-10,True,2.9,1200000,11820,8.371290479161099e-10,143874.897489102,2952.258146589187,0.0007234741340265856,149173.2883198529,2134.647526643262,0.0011828820024505987,56112.442740441635,810.7536978994212,0.005897124169077472
1.4668045594807214e-11,7.988469780970416e-10,False,False,23.654967726853197,1.2757781012333426e-10,True,3.0,1200000,11724,7.793271142150359e-10,142916.85307467438,2918.592626454948,0.0008153406557121465,147603.77107978036,2134.004009568978,0.0012198077131932632,59969.140853605626,863.1256168250464,0.005265317505002685
1.5212156505214035e-11,6.861391645064158e-10,False,False,19.92262062720978,1.1903306854562936e-10,True,3.1,1200000,11650,7.322922572480279e-10,137204.1341453704,2807.381669349741,0.0007974243902631952,143032.45555387938,2066.1741046381035,0.0012480103594747019,64110.078908766925,911.1439225932205,0.00404921671581455
1.557062547069259e-11,5.904568570245422e-10,False,False,17.589449379401195,1.1128814213133759e-10,True,3.2,1200000,11600,6.928879346742e-10,141041.1920066065,2827.5153688630235,0.0007436172578362061,143714.39815736236,2070.972604904023,0.0012022682267050057,67015.26020917656,944.5096090444275,0.005382656297110775
1.5979410634621323e-11,5.229316174428321e-10,False,False,15.20920701987582,1.0339080829635004e-10,True,3.3,1200000,11584,6.593737685068322e-10,142314.3908219623,2859.345141289811,0.0007655484599881401,146943.13536404882,2151.2981365305873,0.0011974967169235537,67176.40085081798,941.868244837271,0.0050980352466732295
1.706138101010184e-11,4.3968575294595815e-10,False,False,12.639305465629173,9.757684326954808e-11,True,3.4,1200000,11492,6.305872513637922e-10,139524.51477836035,2781.602925183503,0.0007789230994847056,139953.6422917862,2048.999110980777,0.001237228668695372,74318.9064101396,1034.564824456842,0.004452158631040778
